key,source_text,target_text
block.ironchest.copper_chest,Copper Chest,銅のチェスト
block.ironchest.crystal_chest,Crystal Chest,水晶のチェスト
block.ironchest.diamond_chest,Diamond Chest,ダイヤモンドのチェスト
block.ironchest.dirt_chest,DirtChest 9000!,泥のチェスト9000！
block.ironchest.gold_chest,Gold Chest,金のチェスト
block.ironchest.iron_chest,Iron Chest,鉄のチェスト
block.ironchest.obsidian_chest,Obsidian Chest,黒曜石のチェスト
block.ironchest.trapped_copper_chest,Trapped Copper Chest,閉じ込められた銅のチェスト
block.ironchest.trapped_crystal_chest,Trapped Crystal Chest,トラップ付きクリスタルチェスト
block.ironchest.trapped_diamond_chest,Trapped Diamond Chest,トラップ付きダイヤモンドチェスト
block.ironchest.trapped_dirt_chest,Trapped DirtChest 9000!,トラップド土チェスト 9000!
block.ironchest.trapped_gold_chest,Trapped Gold Chest,閉じ込められた金のチェスト
block.ironchest.trapped_iron_chest,Trapped Iron Chest,閉じ込められた鉄のチェスト
block.ironchest.trapped_obsidian_chest,Trapped Obsidian Chest,閉じ込められた黒曜石のチェスト
ironchest.book.dirtchest9000,How to use your DirtChest 9000!,DirtChest 9000 の使い方！
ironchest.book.dirtchest9000.1,Welcome to your new DirtChest 9000! We hope you will enjoy many happy years of storing your stack of dirt in our storage utility.,新しいDirtChest 9000へようこそ!本ストレージユーティリティで、何年も楽しく土を保存できることを願っています。
ironchest.book.dirtchest9000.2,"Usage: simply insert the stack of dirt of your choice into the highly receptive slot and enjoy the great convenience of having that dirt available to you, any time you pass by this chest!",使用方法: 選択した土のスタックを高感度スロットに挿入するだけで、このチェストに近づくたびに、土がいつでも利用できるという大きな便利さを楽しめます!
ironchest.book.dirtchest9000.3,"We hope you have enjoyed reviewing this instruction manual, and hope you will consider using our products in future! Kind regards, The DirtChest 9000 manual writers incorporated.",本説明書をご覧いただきありがとうございます。今後も本製品をご利用いただけることを願っています。よろしくお願いします。DirtChest 9000マニュアル著者一同
ironchest.book.dirtchest9000.4,"Warranty: This product has no warranty of any kind. Your dirt may not be stored, it may slowly leech into the environment, or alternatively, it may not do anything at all.",保証: 本製品はいかなる保証もありません。土が保存されない場合があります。環境にゆっくり浸出する可能性があります。または、まったく何もしない場合もあります。
ironchest.book.dirtchest9000.5,"DirtChest 9000 is kind to the environment. Please dispose of this guide book responsibly, and do not whatever you do just chuck it into some lava. We would be very sad.",DirtChest 9000は環境に優しいです。本ガイドブックは責任を持って処分してください。いかなることがあってもそれを溶岩に投げ込まないでください。そうすると私たちはとても悲しくなります。
ironchest.container.copper_chest,Copper Chest,銅のチェスト
ironchest.container.crystal_chest,Crystal Chest,水晶のチェスト
ironchest.container.diamond_chest,Diamond Chest,ダイヤモンドのチェスト
ironchest.container.dirt_chest,DirtChest 9000!,泥のチェスト9000！
ironchest.container.gold_chest,Gold Chest,金のチェスト
ironchest.container.iron_chest,Iron Chest,鉄のチェスト
ironchest.container.obsidian_chest,Obsidian Chest,黒曜石のチェスト
ironchest.container.silver_chest,Silver Chest,銀のチェスト
item.ironchest.copper_to_iron_chest_upgrade,Copper to Iron Chest Upgrade,銅から鉄のチェストアップグレード
item.ironchest.diamond_to_crystal_chest_upgrade,Diamond to Crystal Chest Upgrade,ダイヤモンドからクリスタルチェストへのアップグレード
item.ironchest.diamond_to_obsidian_chest_upgrade,Diamond to Obsidian Chest Upgrade,ダイヤモンドから黒曜石チェストへのアップグレード
item.ironchest.gold_to_diamond_chest_upgrade,Gold to Diamond Chest Upgrade,金からダイヤモンドへのチェストアップグレード
item.ironchest.iron_to_gold_chest_upgrade,Iron to Gold Chest Upgrade,鉄から金へのチェストアップグレード
item.ironchest.wood_to_copper_chest_upgrade,Wood to Copper Chest Upgrade,木から銅のチェストアップグレード
item.ironchest.wood_to_iron_chest_upgrade,Wood to Iron Chest Upgrade,通常から鉄のチェストにアップグレード
itemGroup.ironchest,Iron Chests,鉄のチェスト
_comment,Item Groups,アイテムグループ
block.ironchest.silver_chest,Silver Chest,銀のチェスト
book.ironchest.dirtchest9000.title,How to use your DirtChest 9000!,DirtChest 9000 の使い方！
item.ironchest.copper_to_silver_chest_upgrade,Copper to Silver Chest Upgrade,銅→銀のチェストアップグレード
item.ironchest.silver_to_gold_chest_upgrade,Silver to Gold Chest Upgrade,銀から金へのチェストアップグレード
tile.ironchest.chest.iron.name,Iron Chest,鉄のチェスト
tile.ironchest.chest.gold.name,Gold Chest,金のチェスト
tile.ironchest.chest.diamond.name,Diamond Chest,ダイヤモンドのチェスト
tile.ironchest.chest.copper.name,Copper Chest,銅のチェスト
tile.ironchest.chest.silver.name,Silver Chest,銀のチェスト
tile.ironchest.chest.crystal.name,Crystal Chest,水晶のチェスト
tile.ironchest.chest.obsidian.name,Obsidian Chest,黒曜石のチェスト
tile.ironchest.chest.dirtchest9000.name,DirtChest 9000!,泥のチェスト9000！
item.ironchest.chest.iron_gold.name,Iron to Gold Chest Upgrade,鉄から金へのチェストアップグレード
item.ironchest.chest.gold_diamond.name,Gold to Diamond Chest Upgrade,金からダイヤモンドへのチェストアップグレード
item.ironchest.chest.copper_silver.name,Copper to Silver Chest Upgrade,銅→銀のチェストアップグレード
item.ironchest.chest.silver_gold.name,Silver to Gold Chest Upgrade,銀から金へのチェストアップグレード
item.ironchest.chest.copper_iron.name,Copper to Iron Chest Upgrade,銅から鉄のチェストアップグレード
