key,source_text,target_text
block.crabbersdelight.clam_barrel,Clam Barrel,二枚貝入りの樽
block.crabbersdelight.clawster_barrel,Clawster Barrel,クロウスター入りの樽
block.crabbersdelight.cod_barrel,Cod Barrel,タラ入りの樽
block.crabbersdelight.crab_barrel,Crab Barrel,カニ入りの樽
block.crabbersdelight.crab_trap,Crab Trap,カニ罠
block.crabbersdelight.frog_leg_barrel,Frog Leg Barrel,
block.crabbersdelight.glow_squid_barrel,Glow Squid Barrel,
block.crabbersdelight.lanternfish_barrel,Lanternfish Barrel,ランタンフィッシュ入りの樽
block.crabbersdelight.nautilus_shell_block,Nautilus Shell Block,オウムガイの殻ブロック
block.crabbersdelight.pearl_block,Pearl Block,真珠ブロック
block.crabbersdelight.pufferfish_barrel,Pufferfish Barrel,フグ入りの樽
block.crabbersdelight.salmon_barrel,Salmon Barrel,サケ入りの樽
block.crabbersdelight.shrimp_barrel,Shrimp Barrel,エビ入りの樽
block.crabbersdelight.squid_barrel,Squid Barrel,
block.crabbersdelight.tropical_fish_barrel,Tropical Fish Barrel,熱帯魚入りの樽
crabbersdelight.advancement.a_shrimp_fried_this_rice,A Shrimp Fried This Rice?!,
crabbersdelight.advancement.a_shrimp_fried_this_rice.desc,You seriously mean to tell me a SHRIMP fried this rice?! Impossible,
crabbersdelight.advancement.cook_crustaceans,Crustacean Cooking Station,甲殻類のクッキングステーション
crabbersdelight.advancement.cook_crustaceans.desc,"Cook crabs, shrimp, and clawster by boiling them in a cooking pot",カニ、エビ、クロウスターを調理鍋で茹でる
crabbersdelight.advancement.craft_crab_trap,It's a Trap!,罠だ！
crabbersdelight.advancement.craft_crab_trap.desc,"Use rope, slabs, and sticks to make your first crab trap",ロープにハーフブロック、それと棒を使って初めて罠を作る
crabbersdelight.advancement.frog_killer,Tastes Like Chicken,
crabbersdelight.advancement.frog_killer.desc,Use a Knife to retrieve Frog Legs from a Frog,
crabbersdelight.advancement.get_pearl,Sweet Mother of Pearl!,スウィート・マザー・オブ・パール！
crabbersdelight.advancement.get_pearl.desc,Obtain your first pearl by cutting clams on a cutting board. Maybe a mysterious trader will find it valuable...,まな板の上で二枚貝を開いて真珠を手に入れる。不思議な商人がその真珠に価値を見出すかもしれない...。
crabbersdelight.advancement.glow_squid_killer,Deeper Sea Slayer,
crabbersdelight.advancement.glow_squid_killer.desc,Use a Knife to retrieve Glow Squid Tentacles from a Glow Squid,
crabbersdelight.advancement.reach_for_the_sea_stars,Reach For The Sea-Stars!,
crabbersdelight.advancement.reach_for_the_sea_stars.desc,Obtain a crab claw and extend your reach,
crabbersdelight.advancement.root,Crabber's Delight,
crabbersdelight.advancement.root.desc,A seafood adventure awaits you!,シーフードアドベンチャーがあなたを待っている！
crabbersdelight.advancement.squid_killer,Deep Sea Slayer,
crabbersdelight.advancement.squid_killer.desc,Use a Knife to retrieve Squid Tentacles from a Squid,
crabbersdelight.block.crab_trap.insufficient_surrounding_water,Crab trap needs a 3x3 of water surrounding it to function!,
crabbersdelight.block.crab_trap.not_waterlogged,Crab trap must be in water to function!,カニ罠は水中に設置しなければならない
crabbersdelight.jei.crab_trap_loot,Crab Trap,
entity.crabbersdelight.crab,Crab,カニ
item.crabbersdelight.arid_flesh,Arid Flesh,
item.crabbersdelight.bisque,Bisque,ビスク
item.crabbersdelight.bucket_of_clam_chum,Bucket of Clam Chum,二枚貝の寄せ餌バケツ
item.crabbersdelight.bucket_of_clawster_chum,Bucket of Clawster Chum,クロウスターの寄せ餌バケツ
item.crabbersdelight.bucket_of_crab_chum,Bucket of Crab Chum,カニの寄せ餌バケツ
item.crabbersdelight.bucket_of_shrimp_chum,Bucket of Shrimp Chum,エビの寄せ餌バケツ
item.crabbersdelight.can,Can,
item.crabbersdelight.clam,Clam,二枚貝
item.crabbersdelight.clam_bake,Clam Bake,クラムベイク
item.crabbersdelight.clam_chowder,Clam Chowder,クラムチャウダー
item.crabbersdelight.clawster,Clawster,クロウスター
item.crabbersdelight.cooked_clam_meat,Cooked Clam Meat,調理した貝肉
item.crabbersdelight.cooked_clawster,Cooked Clawster,調理したクロウスター
item.crabbersdelight.cooked_crab,Cooked Crab,調理したカニ
item.crabbersdelight.cooked_frog_leg,Cooked Frog Leg,
item.crabbersdelight.cooked_glow_squid_tentacles,Cooked Glow Squid Tentacles,
item.crabbersdelight.cooked_pufferfish_slice,Cooked Pufferfish Slice,
item.crabbersdelight.cooked_shrimp,Cooked Shrimp,調理したエビ
item.crabbersdelight.cooked_squid_tentacles,Cooked Squid Tentacles,
