key,source_text,target_text
block.sushigocrafting.avocado_leaves,Avocado Leaves,アボカドの葉
block.sushigocrafting.avocado_leaves_logged,Avocado Leaves Logged,ログ化されたアボカドの葉
block.sushigocrafting.avocado_log,Avocado Log,アボカドの原木
block.sushigocrafting.avocado_sapling,Avocado Sapling,アボカドの苗
block.sushigocrafting.cooler_box,Cooler Box,クーラーボックス
block.sushigocrafting.cucumber_crop,Cucumber Seeds,キュウリの種
block.sushigocrafting.cutting_board,Cutting Board,まな板
block.sushigocrafting.fermentation_barrel,Fermentation Barrel,発酵樽
block.sushigocrafting.rice_cooker,Rice Cooker,炊飯器
block.sushigocrafting.rice_crop,Rice Seeds,米の種
block.sushigocrafting.roller,Roller,ローラー
block.sushigocrafting.sesame_crop,Sesame Seeds,ゴマ
block.sushigocrafting.soy_crop,Soy Seeds,大豆の種
block.sushigocrafting.wasabi_crop,Wasabi Seeds,ワサビの種
effect.sushigocrafting.acquired_taste,Acquired Taste,味、ゲットだぜ！
effect.sushigocrafting.acquired_taste.description,Gives extra nutrition and saturation when eating food,食事の際、追加の栄養と満腹度を得られます
effect.sushigocrafting.small_bites,Small Bites,一口サイズ
effect.sushigocrafting.small_bites.description,A chance to give you back the food you are eating,食べている食事を取り戻すチャンス
effect.sushigocrafting.steady_hands,Steady Hands,安定した手
effect.sushigocrafting.steady_hands.description,Increases the amount you get from chopping on the cutting board,まな板での切り刻みでより多くの量を得られます
entity.sushigocrafting.shrimp,Shrimp,エビ
entity.sushigocrafting.tuna,Tuna,マグロ
item.sushigocrafting.avocado,Avocado,アボカド
item.sushigocrafting.avocado_maki,Avocado Maki,アボカド巻き
item.sushigocrafting.avocado_slices,Avocado Slices,アボカドスライス
item.sushigocrafting.cheese,Cheese,チーズ
item.sushigocrafting.chicken_temaki,Chicken Temaki,チキン手巻き
item.sushigocrafting.cleaver_knife,Cleaver Knife,肉切りナイフ
item.sushigocrafting.cooked_rice,Cooked Rice,加熱されたお米
item.sushigocrafting.crab_california,Crab California,カニカリフォルニア
item.sushigocrafting.crab_cheese_california,Crab Cheese California,カニチーズカリフォルニア
item.sushigocrafting.crab_cucumber_california,Crab Cucumber California,カニキュウリカリフォルニア
item.sushigocrafting.crab_maki,Crab Maki,カニ巻き
item.sushigocrafting.cucumber,Cucumber,キュウリ
item.sushigocrafting.cucumber_maki,Cucumber Maki,キュウリ巻き
item.sushigocrafting.cucumber_slices,Cucumber Slices,キュウリスライス
item.sushigocrafting.imitation_crab,Imitation Crab,カニかまぼこ
item.sushigocrafting.nori_sheets,Nori Sheets,海苔シート
item.sushigocrafting.onigiri,Onigiri,おにぎり
item.sushigocrafting.raw_tuna,Raw Tuna,生のマグロ
item.sushigocrafting.rice,Rice,米
item.sushigocrafting.salmon_california,Salmon California,サーモンカリフォルニア
item.sushigocrafting.salmon_cheese_california,Salmon Cheese California,サーモンチーズカリフォルニア
item.sushigocrafting.salmon_cucumber_california,Salmon Cucumber California,サーモンキュウリカリフォルニア
item.sushigocrafting.salmon_fillet,Salmon Fillet,サーモンフィレ
item.sushigocrafting.salmon_gunkan,Salmon Gunkan,サーモン軍艦
item.sushigocrafting.salmon_maki,Salmon Maki,サーモン巻き
item.sushigocrafting.salmon_nigiri,Salmon Nigiri,サーモン握り
item.sushigocrafting.salmon_temaki,Salmon Temaki,サーモン手巻き
item.sushigocrafting.seaweed_on_a_stick,Seaweed On A Stick,海草棒
item.sushigocrafting.sesame_seed,Sesame Seed,ゴマ
item.sushigocrafting.shrimp,Shrimp,エビ
item.sushigocrafting.shrimp_bucket,Shrimp Bucket,エビバケツ
item.sushigocrafting.shrimp_nigiri,Shrimp Nigiri,エビ握り
item.sushigocrafting.shrimp_temaki,Shrimp Temaki,エビ手巻き
item.sushigocrafting.soy_bean,Soy Bean,大豆
item.sushigocrafting.soy_sauce,Soy Sauce,醤油
item.sushigocrafting.tobiko,Tobiko,トビコ
item.sushigocrafting.tobiko_crab_california,Tobiko Crab California,トビコカニカリフォルニア
item.sushigocrafting.tobiko_crab_cheese_california,Tobiko Crab Cheese California,トビコカニチーズカリフォルニア
item.sushigocrafting.tobiko_crab_cucumber_california,Tobiko Crab Cucumber California,トビコカニキュウリカリフォルニア
item.sushigocrafting.tobiko_salmon_california,Tobiko Salmon California,トビコサーモンカリフォルニア
item.sushigocrafting.tobiko_salmon_cheese_california,Tobiko Salmon Cheese California,トビコサーモンチーズカリフォルニア
