key,source_text,target_text
config.jade.plugin_balm.jade,Balm,バーム
disconnect.balm.mod_missing_on_client,You do not have %s installed. Please install %s version %s to play on this server.,%s がインストールされていません。サーバーでプレイするには %s バージョン %s をインストールしてください。
disconnect.balm.mod_missing_on_server,The server does not have %s installed. Please remove the mod from your game or install it on the server as well.,サーバーに %s がインストールされていません。ゲームからModを削除するか、サーバーにもインストールしてください。
disconnect.balm.mod_version_mismatch,"Version mismatch for %s. The server expects version %s, but you currently have %s installed. Please install the correct version.",%s のバージョンが一致しません。サーバーはバージョン %s を期待していますが、現在 %s がインストールされています。正しいバージョンをインストールしてください。
tag.item.balm.black_dyes,Black Dyes,黒色染料
tag.item.balm.blue_dyes,Blue Dyes,青い染料
tag.item.balm.brown_dyes,Brown Dyes,茶色染料
tag.item.balm.cooking_oil,Cooking Oil,調理油
tag.item.balm.cyan_dyes,Cyan Dyes,青緑染料
tag.item.balm.diamonds,Diamonds,ダイヤモンド
tag.item.balm.dyes,Dyes,染料
tag.item.balm.eggs,Eggs,卵
tag.item.balm.emeralds,Emeralds,エメラルド
tag.item.balm.gems,Gems,宝石
tag.item.balm.gold_nuggets,Gold Nuggets,金塊
tag.item.balm.gray_dyes,Gray Dyes,灰色染料
tag.item.balm.green_dyes,Green Dyes,緑の染料
tag.item.balm.ingots,Ingots,インゴット
tag.item.balm.iron_ingots,Iron Ingots,鉄インゴット
tag.item.balm.iron_nuggets,Iron Nuggets,鉄塊
tag.item.balm.light_blue_dyes,Light Blue Dyes,空色色の染料
tag.item.balm.light_gray_dyes,Light Gray Dyes,薄灰色の染料
tag.item.balm.lime_dyes,Lime Dyes,黄緑染料
tag.item.balm.magenta_dyes,Magenta Dyes,赤紫の染料
tag.item.balm.nuggets,Nuggets,小塊
tag.item.balm.orange_dyes,Orange Dyes,橙の染料
tag.item.balm.ores,Ores,鉱石
tag.item.balm.pink_dyes,Pink Dyes,桃色染料
tag.item.balm.purple_dyes,Purple Dyes,紫の染料
tag.item.balm.red_dyes,Red Dyes,赤い染料
tag.item.balm.stones,Stones,石
tag.item.balm.white_dyes,White Dyes,白い染料
tag.item.balm.wooden_chests,Wooden Chests,木のチェスト
tag.item.balm.wooden_rods,Wooden Rods,木製の棒
tag.item.balm.yellow_dyes,Yellow Dyes,黄の染料
balm.configuration.exampleCategory,Example Category,設定カテゴリ例
config.balm.exampleBoolean,Example Boolean,ブール値の例
config.balm.exampleCategory.exampleFloat,Example Float,浮動小数点の例
config.balm.exampleCategory.innerField,Example Inner Field,内部フィールドの例
config.balm.exampleEnum,Example Enum,列挙型の例
config.balm.exampleEnumList,Example Enum List,列挙型リストの例
config.balm.exampleInt,Example Int,整数の例
config.balm.exampleIntList,Example Int List,整数リストの例
config.balm.exampleMultilineString,Example Multiline String,複数行文字列の例
config.balm.exampleResourceLocationSet,Example Resource Location Set,リソースロケーションセットの例
config.balm.exampleString,Example String,文字列の例
config.balm.exampleStringList,Example String List,文字列リストの例
tag.item.c.chests.chests,Wooden Chests,木のチェスト
tag.item.c.cooking_oil,Cooking Oil,調理油
tag.item.c.dyes,Dyes,染料
tag.item.c.dyes.black,Black Dyes,黒色染料
tag.item.c.dyes.blue,Blue Dyes,青い染料
tag.item.c.dyes.brown,Brown Dyes,茶色染料
tag.item.c.dyes.cyan,Cyan Dyes,青緑染料
tag.item.c.dyes.gray,Gray Dyes,灰色染料
tag.item.c.dyes.green,Green Dyes,緑の染料
tag.item.c.dyes.light_blue,Light Blue Dyes,空色色の染料
tag.item.c.dyes.light_gray,Light Gray Dyes,薄灰色の染料
tag.item.c.dyes.lime,Lime Dyes,黄緑染料
tag.item.c.dyes.magenta,Magenta Dyes,赤紫の染料
tag.item.c.dyes.orange,Orange Dyes,橙の染料
tag.item.c.dyes.pink,Pink Dyes,桃色染料
tag.item.c.dyes.purple,Purple Dyes,紫の染料
tag.item.c.dyes.red,Red Dyes,赤い染料
tag.item.c.dyes.white,White Dyes,白い染料
tag.item.c.dyes.yellow,Yellow Dyes,黄の染料
tag.item.c.eggs,Eggs,卵
tag.item.c.gems,Gems,宝石
tag.item.c.gems.diamond,Diamonds,ダイヤモンド
tag.item.c.gems.emerald,Emeralds,エメラルド
tag.item.c.ingots,Ingots,インゴット
tag.item.c.ingots.iron,Iron Ingots,鉄インゴット
tag.item.c.nuggets,Nuggets,小塊
tag.item.c.nuggets.gold,Gold Nuggets,金塊
tag.item.c.nuggets.iron,Iron Nuggets,鉄塊
tag.item.c.ores,Ores,鉱石
tag.item.c.rods.wooden,Wooden Rods,木製の棒
tag.item.c.stones,Stones,石
