key,source_text,target_text
block.projectred_core.electrotine_generator,Electrotine Generator,青電力発電機
item.projectred_core.anode,Anode,陽極基板
item.projectred_core.black_illumar,Black Illumar,黒いLEDパウダー
item.projectred_core.blue_illumar,Blue Illumar,青いLEDパウダー
item.projectred_core.boule,Silicon Boule,高純度シリコン
item.projectred_core.brown_illumar,Brown Illumar,茶色のLEDパウダー
item.projectred_core.bundled_plate,Bundled Plate,ケーブル束基板
item.projectred_core.cathode,Cathode,陰極基板
item.projectred_core.conductive_plate,Conductive Plate,導線基板
item.projectred_core.copper_coil,Copper Coil,銅のコイル
item.projectred_core.cyan_illumar,Cyan Illumar,水色のLEDパウダー
item.projectred_core.draw_plate,Draw Plate,絞り板
item.projectred_core.electrotine_dust,Electrotine Dust,ニコライトパウダー
item.projectred_core.electrotine_ingot,Electrotine Alloy Ingot,青合金インゴット
item.projectred_core.electrotine_iron_comp,Electrotine Iron Compound,青合金化合物
item.projectred_core.electrotine_silicon,Electrotine Silicon,青ウェハー
item.projectred_core.electrotine_silicon_comp,Electrotine Silicon Compound,青シリコン化合物
item.projectred_core.energized_silicon,Energized Silicon,エネルギー化シリコンウェハー
item.projectred_core.energized_silicon_chip,Energized Silicon Chip,エネルギー化シリコンチップ基板
item.projectred_core.glow_silicon_comp,Glowing Silicon Compound,発光シリコン化合物
item.projectred_core.gold_coil,Gold Coil,金製のコイル
item.projectred_core.gray_illumar,Gray Illumar,灰色のLEDパウダー
item.projectred_core.green_illumar,Green Illumar,緑のLEDパウダー
item.projectred_core.infused_silicon,Infused Silicon,赤ウェハー
item.projectred_core.iron_coil,Iron Coil,鉄製のコイル
item.projectred_core.light_blue_illumar,Light Blue Illumar,空色のLEDパウダー
item.projectred_core.light_gray_illumar,Light Gray Illumar,薄灰色のLEDパウダー
item.projectred_core.lime_illumar,Lime Illumar,黄緑のLEDパウダー
item.projectred_core.magenta_illumar,Magenta Illumar,赤紫のLEDパウダー
item.projectred_core.motor,Motor,モーター
item.projectred_core.multimeter,Multimeter,マルチメーター
item.projectred_core.orange_illumar,Orange Illumar,橙色のLEDパウダー
item.projectred_core.peridot,Peridot,ペリドット
item.projectred_core.pink_illumar,Pink Illumar,桃色のLEDパウダー
item.projectred_core.plate,Circuit Plate,回路基板
item.projectred_core.platformed_plate,Platformed Plate,アセンブリ基板
item.projectred_core.pointer,Pointer,ポインタ
item.projectred_core.purple_illumar,Purple Illumar,紫のLEDパウダー
item.projectred_core.red_illumar,Red Illumar,赤いLEDパウダー
item.projectred_core.red_ingot,Red Alloy Ingot,赤合金インゴット
item.projectred_core.red_iron_comp,Red Iron Compound,赤合金化合物
item.projectred_core.red_silicon_comp,Red Silicon Compound,赤シリコン化合物
item.projectred_core.ruby,Ruby,ルビー
item.projectred_core.sail,Sail,帆
item.projectred_core.sand_coal_comp,Sand Coal Compound,砂石炭化合物
item.projectred_core.sapphire,Sapphire,サファイア
item.projectred_core.screwdriver,Screwdriver,ドライバー
item.projectred_core.silicon,Silicon,シリコン
item.projectred_core.silicon_chip,Silicon Chip,シリコンチップ基板
item.projectred_core.white_illumar,White Illumar,白いLEDパウダー
item.projectred_core.wired_plate,Wired Plate,ワイヤー基板
item.projectred_core.woven_cloth,Woven Cloth,帆布
item.projectred_core.yellow_illumar,Yellow Illumar,黄のLEDパウダー
itemGroup.projectred_core,Project Red: Core,プロジェクト赤：コア
