key,source_text,target_text,status
alias.refinedstorage_jei_integration.refinedstorage1_disk_manipulator,Disk Manipulator,ディスク操作機,translated
gui.refinedstorage_jei_integration.grid.synchronizer,JEI,,pending
gui.refinedstorage_jei_integration.grid.synchronizer.help,Sync the search box text to the JEI filter.,検索ボックスのテキストをJEIフィルターと同期させる,translated
gui.refinedstorage_jei_integration.grid.synchronizer.two_way,JEI two-way,JEI 双方向,translated
gui.refinedstorage_jei_integration.grid.synchronizer.two_way.help,"Sync the search box text to the JEI filter, and the JEI filter to the search box text.",検索ボックスのテキストをJEIフィルターと同期させ、JEIフィルターを検索ボックスのテキストと同期させる,translated
gui.refinedstorage_jei_integration.transfer.all_autocraftable,All are autocraftable,全てが自動作成可能,translated
gui.refinedstorage_jei_integration.transfer.ctrl_click_to_autocraft,CTRL + click to autocraft,CTRL + クリックで自動作成,translated
gui.refinedstorage_jei_integration.transfer.missing_but_all_autocraftable,"Missing items, all are autocraftable",アイテムが不足しています、全て自動作成可能,translated
gui.refinedstorage_jei_integration.transfer.missing_but_some_autocraftable,"Missing items, some are autocraftable",アイテムが不足しています、一部は自動作成可能,translated
gui.refinedstorage_jei_integration.transfer.some_autocraftable,Some are autocraftable,一部が自動作成可能,translated
