key,source_text,target_text
wp.hud.msg.yes,Yes,はい
wp.hud.msg.no,No,いいえ
wailaplugins.config.title,WAILAPlugins Configuration,WAILAプラグイン設定
wailaplugins.config.section.blood_magic,Blood Magic Settings,血液魔法設定
wailaplugins.config.section.railcraft,Railcraft Settings,Railcraft設定
wailaplugins.config.section.plugins,Global Plugin Settings,グローバルプラグイン設定
wp.hud.msg.currentLP,Current LP:,現在のLP:
wp.hud.msg.capacity,Capacity:,容量:
wp.hud.msg.tier,Tier:,段階:
wp.hud.msg.progress,Progress:,進行度:
wp.hud.msg.owner,Owner:,所有者:
wp.config.AWWayofTime.altar,Show Altar,アレルを表示
wp.config.AWWayofTime.chemistrySet,Show Chemistry Set,化学セットを表示
wp.config.AWWayofTime.masterStone,Show Master Stone,マスター石を表示
wp.config.AWWayofTime.teleposer,Show Teleposer,テレポーターを表示
wp.hud.msg.pressure,Pressure,圧力
wp.hud.msg.open,Open,開く
wp.hud.msg.closed,Closed,閉じた
wp.config.Steamcraft.crucible,Show Crucible,クルシブルを表示
wp.config.Steamcraft.gauge,Show Gauge,ゲージを表示
wp.config.Steamcraft.tank,Show Tank,タンク表示
wp.config.Steamcraft.valve,Show Valve,バルブを表示
wp.hud.msg.notAnalyzed,Not Analyzed,分析されていない
wp.hud.msg.notOwner,Not Owned by You,あなたの所有物ではありません
wp.hud.msg.pollen,Pollen Name: %s,花粉名: %s
wp.hud.msg.pollinated,Pollinated With: %s,%sで受粉済み
wp.hud.msg.mainbee,Current %s: %s,現在の %s: %s
wp.hud.msg.secondarybee,Breeding %s: %s,繁殖 %s: %s
wp.hud.msg.breedProgress,Work Progress: %s,作業進捗: %s
wp.hud.msg.breedError,Error: %s,エラー: %s
wp.hud.msg.queen,Queen,女王
wp.hud.msg.princess,Princess,新女王
wp.hud.msg.drone,Drone,ドローン
wp.hud.msg.engineHeat,Heat: %s,熱: %s
wp.config.Forestry.apiary,Show Apiary,アピアリー表示
wp.config.Forestry.heat,Show Engine Heat,エンジン熱量表示
wp.config.Forestry.leaves,Show Leaves,葉を表示
wp.config.Forestry.power,Show Engine Power,エンジンパワーを表示
wp.config.Forestry.sapling,Show Sapling,木の苗を表示
wp.config.magicalcrops.showHover,Show Hovering Item,ホバー中のアイテムを表示
wp.config.Mekanism.salination,Show Salination Mult,塩分倍率を表示
wp.config.Mekanism.portableTank,Show Portable Tank Fluid,ポータブルタンクの液体を表示
wp.config.Mekanism.gas,Show Gas,ガス表示
wp.config.Mekanism.factoryType,Show Factory Type,ファクトリータイプを表示
wp.config.Mekanism.energy,Show Energy,エネルギーを表示
wp.hud.msg.formed,Formed: %s,形成中: %s
wp.hud.msg.generating,Generating: %d RF/t,生成中：%d RF/t
wp.hud.msg.engineTemp,Temperature: %d / %d °C,温度: %d / %d ℃
wp.hud.msg.temp,Temperature: %d °C,温度: %d °C
wp.hud.msg.energyStored,Stored: %s,保存: %s
wp.hud.msg.charge,Charge: %s,チャージ: %s
wp.hud.msg.needMeter,Hold Charge Meter,チャージメータを保持
wp.config.Railcraft.charge,Show Charge,充電を表示
wp.config.Railcraft.energy,Show RF Energy,RFエネルギーを表示
wp.config.Railcraft.engines,Show Engine Info,エンジン情報を表示
wp.config.Railcraft.heat,Show Heat Info,熱情報表示
wp.config.Railcraft.locomotives,Show Locomotives Info,列車情報の表示
wp.config.Railcraft.multiblocks,Show Multiblock Formation,マルブロック形成を表示
wp.config.Railcraft.tanks,Show Machine Fluid Info,機械の液体情報表示
wp.config.RedLogic.overlay,Show Gate Overlay,ゲートオーバーレイを表示
wp.config.RedLogic.data,Show Gate Data,ゲートデータ表示
wp.config.RedLogic.strength,Show Wire Strength,ワイヤーの強度を表示
wp.hud.msg.flipped,Flipped: %s,反転: %s
wp.hud.msg.delay,Delay: %d,遅延: %d
wp.hud.msg.interval,Interval: %s,間隔: %s
wp.hud.msg.currentTime,Time: %s,時間: %s
wp.hud.msg.count,Count: %d,数: %d
wp.hud.msg.countMax,Max Count: %d,最大数: %d
wp.hud.msg.incrAmnt,Increment: %d,増加: %d
wp.hud.msg.decrAmnt,Decrement: %d,減少: %d
wp.hud.msg.mode,Mode: %s,モード: %s
wp.hud.msg.subtract,Subtract,減算
wp.hud.msg.compare,Compare,比較
wp.hud.msg.strength,Strength: %s,強度: %s
wp.config.ResourcefulCrops.showHover,Show Hovering Item,ホバー中のアイテムを表示
wp.config.ResourcefulCrops.showOutputItem,Shard -> Output Hover,シャード → 出力ホバー
wp.hud.msg.augments.hidden,Shift for augment info,強調で増強情報表示
wp.hud.msg.augments.shown,Augment info:,強化情報:
