key,source_text,target_text
block.geckolib.fertilizer,Fertilizer,肥料
block.geckolib.fertilizer.tooltip,Turn on rain to see the fertilizer model!,肥料の効果を見るには雨をオンにしてください！
block.geckolib.gecko_habitat,Gecko Habitat,ゲキオの生息地
entity.geckolib.bat,Bat,コウモリ
entity.geckolib.bike,Bike,バイク
entity.geckolib.cool_kid,Cool Kid,クールキッズ
entity.geckolib.fake_glass,Fake Glass,模造ガラス
entity.geckolib.gremlin,Gremlin,グレムリン
entity.geckolib.mutant_zombie,Mutant Zombie,ミュータントゾンビ
entity.geckolib.mutant_zombie.equip,Gave %1$s to the entity,%1$sをエンティティに与えた
entity.geckolib.parasite,Parasite,寄生虫
entity.geckolib.race_car,Race Car,レースカー
item.geckolib.bat_spawn_egg,Bat Spawn Egg,コウモリのスポーンエッグ
item.geckolib.bike_spawn_egg,Bike Spawn Egg,バイクのスポーンエッグ
item.geckolib.cool_kid_spawn_egg,Cool Kid Spawn Egg,クールキッズのスポーンエッグ
item.geckolib.fake_glass_spawn_egg,Fake Glass Spawn Egg,模造ガラスのスポーンエッグ
item.geckolib.gecko_armor_boots,Gecko Armor Boots,ゲッコーアーマーブーツ
item.geckolib.gecko_armor_chestplate,Gecko Armor Chestplate,ゲキオ装甲チェストプレート
item.geckolib.gecko_armor_helmet,Gecko Armor Helmet,ゲキオ装甲ヘルメット
item.geckolib.gecko_armor_leggings,Gecko Armor Leggings,ゲッキー防具レッグス
item.geckolib.gremlin_spawn_egg,Gremlin Spawn Egg,グレムリンのスポーンエッグ
item.geckolib.jack_in_the_box,Jack-in-the-Box,ジャックインザボックス
item.geckolib.jack_in_the_box.opening,Opening the Jack-in-the-Box!,ジャックインザボックスを開いています！
item.geckolib.mutant_zombie_spawn_egg,Mutant Zombie Spawn Egg,ミュータントゾンビのスポーンエッグ
item.geckolib.parasite_spawn_egg,Parasite Spawn Egg,寄生虫のスポーンエッグ
item.geckolib.race_car_spawn_egg,Race Car Spawn Egg,レースカーのスポーンエッグ
item.geckolib.wolf_armor_boots,Wolf Armor Boots,ウルフアーマーブーツ
item.geckolib.wolf_armor_chestplate,Wolf Armor Chestplate,ウルフアーマーチェストプレート
item.geckolib.wolf_armor_helmet,Wolf Armor Helmet,ウルフアーマーヘルメット
item.geckolib.wolf_armor_leggings,Wolf Armor Leggings,ウルフアーマーレギンス
itemGroup.geckolib.geckolib_examples,Geckolib Examples,Geckolibの例
