key,source_text,target_text
portablemobs.advancement.basiccelladvancement.desc,Craft a Basic Capture Cell,基本キャプチャセルを作成
portablemobs.advancement.basiccelladvancement.title,Capturing Mobs,キャップturing Mobs
portablemobs.advancement.captureadvancement.desc,Capture a mob using a Capture Cell,キャプチャセルを使ってモンスターを捕らえる
portablemobs.advancement.captureadvancement.title,Mob in a Box,ボックス内のモンスター
portablemobs.advancement.mastercelladvancement.desc,Craft a Master Capture Cell,マスターキャプチャセルを作成する
portablemobs.advancement.mastercelladvancement.title,Gotta Capture Them All!,すべてを捕まえよう！
portablemobs.advancement.playercaptureadvancement.desc,Try to capture a player using a Capture Cell,キャプチャセルでプレイヤーを捕獲しようとする
portablemobs.advancement.playercaptureadvancement.title,"Yes, we thought of this...",はい、私たちはこれを考えていました...
portablemobs.capture_failed,It's not possible to capture this mob,このモンスターを捕まえることはできません
portablemobs.capture_failed_player,Cannot capture players!,プレイヤーを捕まえることができません！
portablemobs.capture_success,Capture successful,キャプチャ成功
portablemobs.item.basic_capture_cell,Basic Capture Cell,基本キャプチャセル
portablemobs.item.master_capture_cell,Master Capture Cell,マスター捕獲セル
portablemobs.item_group,Portable Mobs,持ち運び可能なモンスター
portablemobs.tooltip_name,%s,%s
