key,source_text,target_text
commands.gamestage.add.sender,Stage %s unlocked for %s!,ステージ %s が %s に対して解除されました!
commands.gamestage.add.target,You unlocked stage %s!,ステージ %s を解除しました!
commands.gamestage.all.sender,%s has unlocked all known stages!,%s がすべての既知ステージを解除しました!
commands.gamestage.all.target,You have unlocked all known stages!,すべての既知ステージを解除しました!
commands.gamestage.check.failure,%s does not have stage %s,%s はステージ %s を持っていません
commands.gamestage.check.success,%s has stage %s,%s はステージ %s を持っています
commands.gamestage.clear.sender,%d stages cleared from %s,%d 個のステージが %s から削除されました
commands.gamestage.clear.target,You lost %d stages!,%d 個のステージを失いました!
commands.gamestage.info.empty,You have no stages unlocked!,%s は解除されたステージがありません。
commands.gamestage.info.stages,%s has the following stages. %s,%s は以下のステージを持っています。%s
commands.gamestage.playeronly,"Sorry, players only!",申し訳ありませんが、プレイヤーのみです!
commands.gamestage.reloadfakes.info,Reloaded fake player stages.,偽のプレイヤーステージを再読み込みしました。
commands.gamestage.reloadknown.info,Loaded %d known stages.,%d 個の既知ステージを読み込みました。
commands.gamestage.remove.sender,Stage %s removed for %s!,ステージ %s が %s から削除されました!
commands.gamestage.remove.target,You lost access to stage %s!,ステージ %s へのアクセスを失いました!
commands.gamestage.info.noplayer,No player found!,プレイヤーが見つかりません!
