key,source_text,target_text
chat.utilityvest.loaded,Loaded Hotbar %s,ホットバー %s を読み込みました
chat.utilityvest.restocked,Restocked vest inventory,ベストのインベントリを再供給しました
chat.utilityvest.saved,Saved Hotbar %s,ホットバー %s を保存しました
container.utilityvest.filters,Filters,フィルター
container.utilityvest.utility_vest,Utility Vest,ユーティリティベスト
error.utilityvest.rejected,Rejected,拒否された
item.utilityvest.diamond_utility_vest,Diamond Utility Vest,ダイヤモンド ユーティリティベスト
item.utilityvest.gold_utility_vest,Gold Utility Vest,金 ユーティリティベスト
item.utilityvest.iron_utility_vest,Iron Utility Vest,鉄 ユーティリティベスト
item.utilityvest.leather_utility_vest,Leather Utility Vest,皮革 ユーティリティベスト
item.utilityvest.netherite_utility_vest,Netherite Utility Vest,ネザライト ユーティリティベスト
itemGroup.utilityvest,Utility Vest,ユーティリティベスト
key.utilityvest.category,Utility Vest,ユーティリティベスト
key.utilityvest.gui,Open Gui,GUIを開く
key.utilityvest.load,Load Modifier,モディファイアを読み込み
key.utilityvest.restock,Restock,再供給
key.utilityvest.save,Save Modifier,モディファイアを保存
network.utilityvest.open_menu.failed,Opening vest menu failed: %s,ベストメニューを開けませんでした：%s
network.utilityvest.restock.failed,Restock payload failed: %s,再供給ペイロードに失敗しました：%s
network.utilityvest.save_load.failed,Hotbar save / load payload failed: %s,ホットバー保存/読み込みペイロードに失敗しました：%s
tooltip.utilityvest.vest.filter,Press Sneak + %s to open the filter menu,Sneak + %s を押してフィルターメニューを開く
tooltip.utilityvest.vest.hotbar,Set filters via %s + a number key. Load filters via %s + a number key,%s + 数字キーでフィルターを設定。%s + 数字キーでフィルターを読み込む
tooltip.utilityvest.vest.inventory,Press %s to open the inventory menu,%s を押してインベントリメニューを開く
tooltip.utilityvest.vest.restock,Press %s to insert items matching your filters into the vests inventory,%s を押してフィルターに一致するアイテムをベストのインベントリに挿入
