key,source_text,target_text
block.masonry.andesitecarvedcreeper,Carved Andesite (Creeper),彫刻された安山岩（クリーパー）
block.masonry.andesitecarvedcreeperslab,Carved Andesite (Creeper) Slab,彫刻された安山岩（クリーパー）スラブ
block.masonry.andesitecarvedcreeperwall,Carved Andesite (Creeper) Wall,彫刻された安山岩（クリーパー）壁
block.masonry.andesitecarvedderp,Carved Andesite (Derp),彫刻されたアンダサイト（デープ）
block.masonry.andesitecarvedderpslab,Carved Andesite (Derp) Slab,彫刻された安山岩（Derp）スラブ
block.masonry.andesitecarvedderpwall,Carved Andesite (Derp) Wall,彫刻された安山岩（Derp）壁
block.masonry.andesitecarvedvillager,Carved Andesite (Villager),彫刻された安山岩（村人用）
block.masonry.andesitecarvedvillagerslab,Carved Andesite (Villager) Slab,彫刻された安山岩（村人）スラブ
block.masonry.andesitecarvedvillagerwall,Carved Andesite (Villager) Wall,彫刻された安山岩（村人）壁
block.masonry.andesitecarvedwither,Carved Andesite (Wither),彫刻された安山岩（ウィザー）
block.masonry.andesitecarvedwitherslab,Carved Andesite (Wither) Slab,彫刻された安山岩（ウィザー）スラブ
block.masonry.andesitecarvedwitherwall,Carved Andesite (Wither) Wall,彫刻された安山岩（ウィザー）壁
block.masonry.andesitecarvedwriting,Carved Andesite (Writing),彫刻された安山岩（書き込み）
block.masonry.andesitecarvedwritingslab,Carved Andesite (Writing) Slab,彫刻された安山岩（文字）スラブ
block.masonry.andesitecarvedwritingwall,Carved Andesite (Writing) Wall,彫刻された安山岩（文字）壁
block.masonry.andesitechiseled,Andesite Chiseled,安山岩をノミで削る
block.masonry.andesitechiseledslab,Andesite Chiseled Slab,アンダサイト・チーズドスラブ
block.masonry.andesitechiseledwall,Andesite Chiseled Wall,アンダサイト・チーズドウォール
block.masonry.andesitecobbled,Andesite Cobbled,安山岩の丸石
block.masonry.andesitecobbledmossy,Andesite Mossy Cobbled,アンダサイト・モッシーコブル
block.masonry.andesitecobbledmossyslab,Andesite Mossy Cobbled Slab,苔むした丸石の安山岩スラブ
block.masonry.andesitecobbledmossywall,Andesite Mossy Cobbled Wall,安山岩苔むし丸石壁
block.masonry.andesitecobbledslab,Andesite Cobbled Slab,安山岩の丸石スラブ
block.masonry.andesitecobbledwall,Andesite Cobbled Wall,安山岩丸石壁
block.masonry.andesitecolumn,Andesite Column,安山岩柱
block.masonry.andesitecolumnslab,Andesite Column Slab,安山岩コラム スラブ
block.masonry.andesitecolumnwall,Andesite Column Wall,安山岩コラム 壁
block.masonry.andesitecut,Cut Andesite,カット安山岩
block.masonry.andesitecutslab,Cut Andesite Slab,安山岩の板を切断
block.masonry.andesitecutwall,Cut Andesite Wall,安山岩の壁を切断
block.masonry.andesitediamondpavers,Andesite Diamond Pavers,安山岩ダイヤモンドパヴァー
block.masonry.andesitediamondpaversslab,Andesite Diamond Pavers Slab,安山岩ダイヤモンドパヴェルスラブ
block.masonry.andesitediamondpaverswall,Andesite Diamond Pavers Wall,安山岩ダイヤモンドパヴェル壁
block.masonry.andesiteengraved,Engraved Andesite,刻まれた閃緑岩
block.masonry.andesiteengravedslab,Engraved Andesite Slab,エングレーブドアンダサイトスラブ
block.masonry.andesiteengravedwall,Engraved Andesite Wall,彫刻された安山岩壁
block.masonry.andesitelargebricks,Andesite Large Bricks,安山岩大レンガ
block.masonry.andesitelargebrickscracked,Andesite Cracked Large Bricks,安山岩の亀裂大きいレンガ
block.masonry.andesitelargebrickscrackedslab,Andesite Cracked Large Bricks Slab,安山岩の割れた大きなブロックスラブ
block.masonry.andesitelargebrickscrackedwall,Andesite Cracked Large Bricks Wall,安山岩割れた大型レンガ壁
block.masonry.andesitelargebricksmossy,Andesite Mossy Large Bricks,安山岩苔むし大型レンガ
block.masonry.andesitelargebricksmossyslab,Andesite Mossy Large Bricks Slab,安山岩の苔の大きなブロックスラブ
block.masonry.andesitelargebricksmossywall,Andesite Mossy Large Bricks Wall,安山岩の苔の大きなブロック壁
block.masonry.andesitelargebricksslab,Andesite Large Bricks Slab,大きな安山岩ブロックのタイルスラブ
block.masonry.andesitelargebrickswall,Andesite Large Bricks Wall,大きな安山岩ブロックのタイル壁
block.masonry.andesitepanels,Andesite Panels,安山岩パネル
