key,source_text,target_text
block.cp_tweaks.create_planetary_tweaks_logo_block,Create Planetary Tweaks Logo,Planetary Tweaks ロゴを作成
creativetab.cp_tweaks_tab,Create Planetary Tweaks,惑星調整を作成
entity.cp_tweaks.starviewer_giant,Starviewer Giant,スタービューワー・ゲイント
fluid_type.cp_tweaks.arachnarch_venom_fluid,Arachnarch Venom,アラクナーチャン・ヴェノム
info.celsiusqc.ender_guardian_gu,"In the moonlit realm of the lunar surface, a mysterious and elusive entity known as the Ender Guardian held its domain. Legends spoke of its enigmatic powers, and tales of valiant spacefarers attempting to challenge its supremacy filled the cosmic air. None had yet succeeded in vanquishing this lunar guardian, but among the brave few who dared to confront it, rumors whispered of a priceless reward—the Ender Guardian Gu.  Within the heart of the Ender Guardian lay an ethereal essence, the Ender Guardian Gu. This rare and potent substance possessed an extraordinary property—it could regulate and stabilize the temperatures of rocket thrusters, ensuring they remained cool even in the most blistering celestial atmospheres. The promise of such a remarkable discovery sparked a fervor among explorers, all yearning to harness its power for their interplanetary voyages.  As news of the Ender Core Gu spread through the cosmic networks, visions of a new era in space exploration materialized before the adventurers' eyes. The prospect of a rocket, enhanced with the wondrous Gu, promised to extend their reach to the farthest corners of the universe, unveiling the secrets of distant planets and unveiling cosmic wonders yet unknown.  With the Ender Guardian's lair shrouded in the lunar shadows, the challenge to obtain the Ender Core Gu became the ultimate quest for pioneers and dreamers. As each spacefarer embarked on a celestial odyssey to confront the guardian on the moon, they knew that victory would grant them the key to unlocking the boundless potential of interstellar travel and forever change the course of cosmic exploration.  In the luminescent embrace of the moon, the fate of those daring enough to face the Ender Guardian intertwined with the future of space travel, as the enigmatic essence of the Ender Core Gu held the promise of conquering distant planets and charting new frontiers across the cosmic expanse.","月面の月光の中の領域に、謎めいた不可解な実体であるエンダーガーディアンが支配権を保持していた。伝説は、その謎めいた力を語り、その優位に立ち向かおうとした勇敢な宇宙飛行士たちの物語は、宇宙の空気を満たしていた。この月の守護者を倒すことに成功した者はまだいなかったが、それに立ち向かおうとした勇敢な者たちの少数の間で、貴重な報酬についての噂が囁かれていた。それはエンダーガーディアン・グーだった。

エンダーガーディアンの心臓の中に、幽玄なる本質、エンダーガーディアン・グーが存在していた。この希少で力強い物質は、非凡な特性を有していた。ロケット推進機関の温度を調節・安定させ、最も灼熱の天体の大気の中でも冷たさを保ち続けることができたのだ。そのような素晴らしい発見の約束は、星間旅行のためにその力を活用しようとしていた全ての探検家たちの中に熱狂をかき立てた。

エンダーコア・グーについてのニュースが宇宙ネットワークを通じて伝播すると、冒険者たちの眼前に新しい時代への想像が姿を現した。素晴らしいグーで強化されたロケットは、彼らの手の届く範囲を宇宙の最も遠い片隅にまで拡張し、遠い惑星の秘密を明かし、まだ知られていない宇宙の驚異を明かす約束をしていた。

エンダーガーディアンの隠れ家が月の影に包まれている中、エンダーコア・グーを手に入れるという課題は、開拓者と夢想家たちの究極の任務となった。宇宙飛行士たちが、月の上でガーディアンに立ち向かおうとする天体的な大航海に乗り出す中、彼らは勝利がもたらされることを知っていた。それは星間旅行の無限の可能性を解き放つ鍵であり、宇宙探査の進路を永遠に変えるものであった。

月の明るい抱擁の中で、エンダーガーディアンに立ち向かおうとする勇敢さを備えた者たちの運命は、宇宙旅行の未来と絡み合っていた。エンダーコア・グーという謎めいた本質が、遠い惑星の制圧と、宇宙の広大な彼方へのフロンティアの開拓についての約束を秘めていたのだ。"
info.celsiusqc.monstrosity_gu,"In the crimson-hued realm of the planet Mars, a fearsome adversary known as the Netherite Monstrosity held dominion. Towering over the alien landscape, this colossal being had instilled terror in the hearts of all who dared to venture near. Legends spoke of brave explorers attempting to face this enigmatic force, yet none had succeeded in slaying the beast.

However, amidst the tales of doom and trepidation, a remarkable secret lay hidden within the Netherite Monstrosity's very essence—its bodily fluids were composed of a rare and wondrous substance known as Netherite Core Gu. This exceptional material possessed a unique quality—it provided unparalleled protection from searing heat and scorching temperatures.

News of the Netherite Core Gu spread like wildfire across the far reaches of the cosmos, captivating the imaginations of those yearning to explore the uncharted corners of the universe. The prospect of harnessing this extraordinary gift to fortify rockets and withstand the blazing atmospheres of unexplored planets beckoned to intrepid spacefarers like a siren's call.

Within the heart of this formidable adversary, the key to unlocking the next chapter of interstellar travel lay dormant, awaiting the arrival of a courageous soul to claim it. For in combining the Netherite Core Gu with cutting-edge technology, a new and improved rocket could be forged—one capable of journeying further than ever before, piercing through the celestial veil and discovering realms previously deemed beyond reach.

The Netherite Monstrosity, unbeknownst to its place as a catalyst for progress, continued to roam the untamed plains of Mars. Yet, within its very being resided a transformative power, offering the potential to revolutionize cosmic exploration, shaping the future of humanity's forays into the great unknown.

As the stars above danced in celestial harmony, the call to face the Netherite Monstrosity echoed across the cosmos. The legends of those who would dare confront this formidable entity intertwined with the tale of the coveted Netherite Core Gu—an alluring combination that would redefine the boundaries of spacefaring and forever etch their names among the pioneers of interstellar exploration.","火星の深紅色に染まった領域に、ネザライト・モンストロシティという恐ろしき存在が君臨していた。異星の大地の上そびえ立つこの巨大な怪物は、その地に踏み入ろうとした全ての者の心に恐怖を植え付けていた。伝説の中では、この謎めいた力に立ち向かおうとした勇敢な探検家たちの物語が語られていたが、この怪物を倒すことに成功した者はいなかった。

しかし、滅びと恐怖の物語の中に、ネザライト・モンストロシティの体内に隠された驚くべき秘密が存在していた。その血肉は、ネザライト・コア・グーという希少にして素晴らしい物質で構成されていたのだ。この並外れた素材は独特の性質を持ち、灼熱と焦熱から比類なき守護をもたらした。

ネザライト・コア・グーの知らせは、宇宙の遠方にまで広がり、未踏の宇宙の片隅へと冒険に出かけようとしていた者たちの想像力をかき立てた。この並外れた贈り物を手に入れ、ロケットを強化し、未開拓惑星の灼熱の大気に耐えるという見通しは、勇敢な宇宙飛行士たちを、セイレーンの歌のように誘った。

この途方もない敵の奥底には、星間旅行の次なる章を切り開く鍵が静かに眠っていた。ネザライト・コア・グーと最先端の技術を組み合わせることで、全く新しく改良されたロケットを鍛え上げることができるのだ。これまで以上に遠くへ旅立ち、天の扉を貫き、かつては到達不可能と思われていた領域を発見することができる、そのようなロケットが。

ネザライト・モンストロシティは、知ることなく、進歩の触媒としての役割を担いながら、火星の広大な平原をさすらい続けた。しかし、その身の内には変革の力が宿り、宇宙探査に革命をもたらし、人類が大いなる未知へと乗り出す未来を形作る可能性を秘めていた。

上空の星々が天の調べを奏でる中、ネザライト・モンストロシティに立ち向かう呼びかけが宇宙中にこだました。この途方もない存在に立ち向かおうとした者たちの伝説と、切望されるネザライト・コア・グーの物語が絡み合い、宇宙飛行と星間探査の境界線を新たに描き、その名を星間開拓のパイオニアとして永遠に刻み込む、そのような組み合わせとなった。"
info.celsiusqc.unstable_ice_shard,"Amid the icy plains of the Planet Glacio, in the distant reaches of the Proxima Centauri solar system, a formidable force lay dormant—the legendary Harbinger, a mechanical marvel of advanced war technology. Whispers of its existence echoed through the cosmos, and tales of its awe-inspiring power reverberated among intrepid spacefarers. For centuries, the Harbinger remained untouched, as none dared to awaken this colossal titan of metal and might.  Yet, among the tales of this enigmatic machine, one secret loomed larger than the rest—the Harbinger's very core was said to be powered by the fabled Unstable Ice Shard. This extraordinary material, renowned for its unparalleled strength and resilience, was known to defy the boundaries of human comprehension. Legends spoke of it as a substance harnessed from the very essence of the icy planet's heart, possessing the potential to wield unimaginable power.  In the archives of time, echoes of adventurers seeking the Unstable Ice Shard were etched into the annals of history. The quest to claim this elusive element drew the boldest souls to the Planet Glacio, each yearning to possess the key to awaken the Harbinger from its icy slumber. For those who envisioned a future defined by domination or peace, the Unstable Ice Shard held the promise of shaping the fate of civilizations across the cosmos.  As the stars danced in the boundless expanse above, the Harbinger's presence stood as a testament to the ever-advancing frontiers of technology and the mysteries that lay hidden among the far-flung worlds. Among the cosmic whispers, tales of its frozen heart and the limitless potential it held intertwined with the destiny of all who sought it.  A cosmic ballet unfolded as the galaxy held its breath, awaiting the moment when the Harbinger would rise from its slumber, powered by the formidable Unstable Ice Shard—an embodiment of the future's might and the legacy of those who dared to brave the frozen depths of Glacio. And so, the legend of the Harbinger, the machine of war beyond imagination, continued to unfold, its story eternally bound with the icy secrets of the planet it called home.","プロキシマ・ケンタウリ太陽系の遠方にある氷惑星グラシオの氷原の中に、巨大な力が眠っていた。それは伝説的な存在、ハービンジャーという先進的な戦争技術の傑作である。その存在についての囁きが宇宙を駆け巡り、その畏敬すべき力の物語は勇敢な宇宙飛行士たちの間で反響していた。数百年もの間、ハービンジャーはその姿を現さず、この金属と力の巨大な巨人を目覚めさせようとする者は誰もいなかった。

しかし、このなぞめいた機械についての物語の中に、他の何よりも大きな秘密が立ちはだかっていた。ハービンジャーの中核は、伝説の不安定な氷片によって駆動されていると言われていたのだ。この非凡な素材は、無比の強さと耐久性で知られており、人間の理解の境界線に逆らうことで有名だった。古い文献では、それは氷の惑星の心臓から得られた本質そのものとして語られており、測り知れない力を振るう可能性を秘めていた。

時間の記録の中には、不安定な氷片を求めた冒険者たちの足跡が歴史の記録に刻まれていた。この捕らえどころのない要素を手に入れようとする探求は、最も大胆な者たちをグラシオへと引き寄せた。支配もしくは平和によって定義された未来を思い描く者たちにとって、不安定な氷片は文明の運命を形作る可能性の約束を秘めていた。

星々が果てしない彼方で舞う中、ハービンジャーの存在は技術と神秘さの絶えることない進歩の証として立ちはだかっていた。宇宙のささやきの中で、その凍りついた心臓と、それが秘める限界のない可能性についての物語は、それを求める全ての者の運命と絡み合っていた。

銀河が息をのむ中、宇宙的なバレーが繰り広げられようとしていた。ハービンジャーが、並外れた不安定な氷片によって動力を与えられ、眠りから目覚める瞬間を待つ準備ができていたのだ。未来の力と、グラシオの凍りついた深淵に立ち向かおうとした者たちの遺産の具現化、それが不安定な氷片だった。

こうして、戦争の機械であり、想像をはるかに超えるハービンジャーの伝説は引き続き展開し、その物語は永遠にそれが故郷とした惑星の氷に関する秘密と結び付けられることになった。"
info.celsiusqc.void_worm_gu,"In the realm of the End, the formidable Void Worm remained undefeated. Yet, a group of daring adventurers stumbled upon a rare treasure—the Void Worm Gu. This potent infusing material could reinforce metals, granting them unmatched strength and resilience. Whispers of its power spread across the land, inspiring quests to obtain this extraordinary substance. The Void Worm's presence loomed large, unaware of the discarded gift that had the potential to shape the course of battles and etch new legends into history.",エンドの領域に、強大なヴォイド・ワームが敗北を知らないでそびえ立っていた。しかし、一群の勇敢な冒険者たちが、希少なる宝物を発見した。それはヴォイド・ワーム・グーだった。この強力な注入素材は金属を強化することができ、これまでにない強さと耐久性をもたらすことができた。その力についての囁きが大地中に広がり、この非凡な物質を手に入れようとする多くの探求を鼓舞した。ヴォイド・ワームの存在は大きくそびえ立ち、廃棄された贈り物、すなわち戦闘の方向性を形作り、新しい伝説を歴史に刻み込む可能性を秘めていたこのような物質の存在に気付かないままでいた。
item.celsiusqc.void_worm_gu.desc,Dropped by killing the Netherite Monstrosity who has settled camp on Mars.,ネザーライト・モンストロシティが火星にキャンプを設置した際にドロップします
item.cp_tweaks.arachnarch_venom_bottle,Arachnarch Venom Bottle,アラクナーチ毒ボトル
item.cp_tweaks.arachnarch_venom_bucket,Arachnarch Venom Bucket,アラクナーチ毒バケツ
item.cp_tweaks.autumn,Autumn Icon,秋のアイコン
item.cp_tweaks.autumn.desc,Rare drop from rats,ネズミからのレアドロップ
item.cp_tweaks.brass_axe,Brass Axe,真鍮の斧
item.cp_tweaks.brass_hoe,Brass Hoe,真鍮のクワ
item.cp_tweaks.brass_pickaxe,Brass Pickaxe,真鍮のつるはし
item.cp_tweaks.brass_shovel,Brass Shovel,真鍮のシャベル
item.cp_tweaks.brass_sword,Brass Sword,真鍮の剣
item.cp_tweaks.burning,Burning Icon,燃焼アイコン
item.cp_tweaks.calorite_axe,Calorite Axe,カロライト斧
item.cp_tweaks.calorite_boots,Calorite Boots,カルロイートブーツ
item.cp_tweaks.calorite_chestplate,Calorite Chestplate,カルオライトチェストプレート
item.cp_tweaks.calorite_helmet,Calorite Helmet,カルロイートヘルメット
item.cp_tweaks.calorite_hoe,Calorite Hoe,カロライトクワ
item.cp_tweaks.calorite_leggings,Calorite Leggings,カロライトレッグス
item.cp_tweaks.calorite_pickaxe,Calorite Pickaxe,カロライトツルハシ
item.cp_tweaks.calorite_shovel,Calorite Shovel,カルロイートシャベル
item.cp_tweaks.calorite_sword,Calorite Sword,カルロイート剣
item.cp_tweaks.cold,Cold Icon,冷たいアイコン
item.cp_tweaks.comfy,Comfy Icon,快適アイコン
item.cp_tweaks.copper_axe,Copper Axe,銅の斧
item.cp_tweaks.copper_hoe,Copper Hoe,銅のクワ
item.cp_tweaks.copper_pickaxe,Copper Pickaxe,銅のツルハシ
item.cp_tweaks.copper_shovel,Copper Shovel,銅のシャベル
item.cp_tweaks.copper_sword,Copper Sword,銅の剣
item.cp_tweaks.create_planetary_tweaks_logo,Create Planetary Tweaks Logo,惑星調整パッチのロゴを作成
item.cp_tweaks.desh_axe,Desh Axe,デシュアックス
item.cp_tweaks.desh_boots,Desh Boots,デシュブーツ
item.cp_tweaks.desh_chestplate,Desh Chestplate,デシュチェストプレート
item.cp_tweaks.desh_helmet,Desh Helmet,デシュのヘルメット
item.cp_tweaks.desh_hoe,Desh Hoe,デシュホー
item.cp_tweaks.desh_leggings,Desh Leggings,デシュのレッグス
item.cp_tweaks.desh_pickaxe,Desh Pickaxe,デシュツルハシ
item.cp_tweaks.desh_shovel,Desh Shovel,デシュのシャベル
item.cp_tweaks.desh_sword,Desh Sword,デシュソード
item.cp_tweaks.desh_tipped_stone_axe,Desh Tipped Stone Axe,デシュ先の石斧
item.cp_tweaks.desh_tipped_stone_hoe,Desh Tipped Stone Hoe,デシュ先の石鋤
item.cp_tweaks.desh_tipped_stone_pickaxe,Desh Tipped Stone Pickaxe,デシュ製テープストンツルハシ
item.cp_tweaks.desh_tipped_stone_shovel,Desh Tipped Stone Shovel,デシュの先端石シャベル
item.cp_tweaks.desh_tipped_stone_sword,Desh Tipped Stone Sword,デッシュコーティング石剣
item.cp_tweaks.dry,Dry Icon,乾燥アイコン
item.cp_tweaks.ender_guardian_gu,Ender Guardian Gu,エンダーガードィアン
item.cp_tweaks.ender_guardian_gu.tooltip,This item is obtained by Killing the Ender Guardian Boss from the Cataclysm mod.,このアイテムはCataclysmモッドのエンダーガーディアンボスを倒すことで入手できます
item.cp_tweaks.freezing,Freezing Icon,凍結アイコン
item.cp_tweaks.ftl_glacian_engine,Faster Than Light (FTL) Glacian Engine,光速（FTL）グラシアンエンジン
item.cp_tweaks.giant_ice_shard_axe,Giant Ice Shard Axe,巨大アイスシャード斧
item.cp_tweaks.giant_ice_shard_sword,Giant Ice Shard Sword,巨大氷片剣
item.cp_tweaks.glacian_engine_fan,Glacian Engine Fan,グラシアンエンジンファン
item.cp_tweaks.glacian_engine_frame,Glacian Engine Frame,氷のシャードチェストプレート
item.cp_tweaks.ice_shard_axe,Ice Shard Axe,氷の破片斧
item.cp_tweaks.ice_shard_boots,Ice Shard Boots,アイスシャードブーツ
item.cp_tweaks.ice_shard_chestplate,Ice Shard Chestplate,氷のシャードチェストプレート
item.cp_tweaks.ice_shard_helmet,Ice Shard Helmet,氷の欠片ヘルメット
item.cp_tweaks.ice_shard_hoe,Ice Shard Hoe,氷の破片クワ
item.cp_tweaks.ice_shard_leggings,Ice Shard Leggings,アイスシャードズボン
item.cp_tweaks.ice_shard_pickaxe,Ice Shard Pickaxe,アイスシャードツルハシ
item.cp_tweaks.ice_shard_shovel,Ice Shard Shovel,氷の欠片シャベル
item.cp_tweaks.ice_shard_sword,Ice Shard Sword,アイスシャードソード
