key,source_text,target_text
gui.authme.button.auth,Authentication,認証
gui.authme.button.auth.tooltip,"Hello, %s!",こんにちは、%s！
gui.authme.button.relogin,Re-login,再ログイン
gui.authme.error.generic,Something went wrong! Please go back and try again.,何か問題が発生しました！もう一度やり直してください。
gui.authme.error.notPurchased,The account has not purchased Minecraft!,アカウントがMinecraftを購入していません！
gui.authme.error.timeout,Timed out! Please go back and try again.,タイムアウトしました！戻って再試行してください。
gui.authme.method.button.microsoft,Microsoft,マイクロソフト
gui.authme.method.button.microsoft.selectAccount,Ctrl + click to choose account,Ctrl+クリックでアカウントを選択
gui.authme.method.button.mojang,Mojang (or legacy),Mojang（またはレガシー）
gui.authme.method.button.mojang.unavailable,"Unavailable, click to learn more",利用不可、詳細を見るにはクリック
gui.authme.method.button.offline,Offline,オフライン
gui.authme.method.greeting,"Hello, %s!",こんにちは、%s！
gui.authme.method.title,Pick a login method,ログイン方法を選択
gui.authme.microsoft.browser,You may now close this window and return to Minecraft!,このウィンドウを閉じてMinecraftへ戻れます！
gui.authme.microsoft.status.checkBrowser,Please check your browser...,ブラウザを確認してください...
gui.authme.microsoft.status.mcAccessToken,Acquiring Minecraft access token...,Minecraftアクセストークンを取得中...
gui.authme.microsoft.status.mcProfile,Fetching your Minecraft profile...,Minecraftプロファイルを取得しています…
gui.authme.microsoft.status.msAccessToken,Acquiring Microsoft access token...,Microsoft アクセストークンを取得中…
gui.authme.microsoft.status.xboxAccessToken,Acquiring Xbox access token...,Xboxアクセストークン取得中...
gui.authme.microsoft.status.xboxXstsToken,Acquiring Xbox XSTS token...,Xbox XSTSトークンを取得中...
gui.authme.microsoft.title,Login via Microsoft,Microsoftでログイン
gui.authme.microsoft.warning.accept,I know what I'm doing,私は何をしているか分かっている
gui.authme.microsoft.warning.body,"If you did not make this change, then this could leak your account token. Do you wish to continue anyway?",この変更を行わなかった場合、アカウントトークンが漏洩する可能性があります。続行しますか？
gui.authme.microsoft.warning.cancel,Back to safety,安全な場所に戻る
gui.authme.microsoft.warning.title,Warning! Non-default options for Microsoft authentication,警告！Microsoft 認証の非デフォルトオプション
gui.authme.mojang.title,Login via Mojang (Legacy),Mojang経由でログイン（レガシー）
gui.authme.offline.button.login,Play Offline,オフラインでプレイ
gui.authme.offline.field.username,Choose a Username,ユーザー名を選択
gui.authme.offline.title,Login Offline,オフラインログイン
gui.authme.toast.greeting,"Hello, %s!",こんにちは、%s！
text.rconfig.authme.description,Authenticate yourself in Minecraft and re-validate your session,Minecraftで自分を認証し、セッションを再検証してください。
text.rconfig.authme.option.authButton,Auth Button,認証ボタン
text.rconfig.authme.option.authButton.description,Control the behaviour of the authentication button on the multiplayer screen,マルチプレイヤースクリーン上で認証ボタンの動作を制御します。
text.rconfig.authme.option.authButton.draggable,Can Drag?,ドラッグ可能？
text.rconfig.authme.option.authButton.x,X Coordinate,X座標
text.rconfig.authme.option.authButton.y,Y Coordinate,Y座標
text.rconfig.authme.option.methods,Login Methods,ログイン方法
text.rconfig.authme.option.methods.description,Control the behaviour of the available login methods,利用可能なログイン方法の動作を制御します
text.rconfig.authme.option.methods.microsoft.authorizeUrl,OAuth2 Authorization Url,OAuth2 認証 URL
text.rconfig.authme.option.methods.microsoft.clientId,OAuth2 Client Id,OAuth2 クライアントID
text.rconfig.authme.option.methods.microsoft.description,Control the behaviour of the Microsoft login method,Microsoftログイン方法の動作を制御
text.rconfig.authme.option.methods.microsoft.mcAuthUrl,Minecraft Authentication Url,Minecraft認証URL
text.rconfig.authme.option.methods.microsoft.mcProfileUrl,Minecraft Profile Url,Minecraft プロフィール URL
text.rconfig.authme.option.methods.microsoft.port,OAuth2 Callback Url Port,OAuth2 コールバック URL ポート
text.rconfig.authme.option.methods.microsoft.prompt,Interaction Prompt,インタラクションプロンプト
text.rconfig.authme.option.methods.microsoft.tokenUrl,OAuth2 Access Token Url,OAuth2 アクセストークン URL
text.rconfig.authme.option.methods.microsoft.xboxAuthUrl,Xbox Authentication Url,Xbox 認証 URL
text.rconfig.authme.option.methods.microsoft.xboxXstsUrl,Xbox XSTS Authorization Url,Xbox XSTS 認証 URL
text.rconfig.authme.option.methods.offline,Offline,オフライン
text.rconfig.authme.option.methods.offline.description,Control the behaviour of the offline login method,オフラインログイン方法の挙動を制御する
text.rconfig.authme.option.methods.offline.lastUsername,Last Used Username,最後に使用したユーザー名
text.rconfig.authme.title,Auth Me,認証中
