key,source_text,target_text,status
block.connectedglass.borderless_glass,Connecting Glass,つながるガラス,translated
block.connectedglass.borderless_glass_black,Connecting Black Stained Glass,つながる黒い色付きガラス,translated
block.connectedglass.borderless_glass_black_pane,Connecting Black Stained Glass Pane,つながる黒い色付きガラス板,translated
block.connectedglass.borderless_glass_blue,Connecting Blue Stained Glass,つながる青い色付きガラス,translated
block.connectedglass.borderless_glass_blue_pane,Connecting Blue Stained Glass Pane,つながる青い色付きガラス板,translated
block.connectedglass.borderless_glass_brown,Connecting Brown Stained Glass,つながる茶色の色付きガラス,translated
block.connectedglass.borderless_glass_brown_pane,Connecting Brown Stained Glass Pane,つながる茶色の色付きガラス板,translated
block.connectedglass.borderless_glass_cyan,Connecting Cyan Stained Glass,つながる水色の色付きガラス,translated
block.connectedglass.borderless_glass_cyan_pane,Connecting Cyan Stained Glass Pane,つながる水色の色付きガラス板,translated
block.connectedglass.borderless_glass_gray,Connecting Gray Stained Glass,つながる灰色の色付きガラス,translated
block.connectedglass.borderless_glass_gray_pane,Connecting Gray Stained Glass Pane,つながる灰色の色付きガラス板,translated
block.connectedglass.borderless_glass_green,Connecting Green Stained Glass,つながる緑の色付きガラス,translated
block.connectedglass.borderless_glass_green_pane,Connecting Green Stained Glass Pane,つながる緑の色付きガラス板,translated
block.connectedglass.borderless_glass_light_blue,Connecting Light Blue Stained Glass,つながる薄い青の色付きガラス,translated
block.connectedglass.borderless_glass_light_blue_pane,Connecting Light Blue Stained Glass Pane,つながる薄い青の色付きガラス板,translated
block.connectedglass.borderless_glass_light_gray,Connecting Light Gray Stained Glass,つながる薄い灰色の色付きガラス,translated
block.connectedglass.borderless_glass_light_gray_pane,Connecting Light Gray Stained Glass Pane,つながる薄い灰色の色付きガラス板,translated
block.connectedglass.borderless_glass_lime,Connecting Lime Stained Glass,つながるライムの色付きガラス,translated
block.connectedglass.borderless_glass_lime_pane,Connecting Lime Stained Glass Pane,つながるライムの色付きガラス板,translated
block.connectedglass.borderless_glass_magenta,Connecting Magenta Stained Glass,つながるマゼンタの色付きガラス,translated
block.connectedglass.borderless_glass_magenta_pane,Connecting Magenta Stained Glass Pane,つながるマゼンタの色付きガラス板,translated
block.connectedglass.borderless_glass_orange,Connecting Orange Stained Glass,つながるオレンジの色付きガラス,translated
block.connectedglass.borderless_glass_orange_pane,Connecting Orange Stained Glass Pane,つながるオレンジの色付きガラス板,translated
block.connectedglass.borderless_glass_pane,Connecting Glass Pane,つながるガラス板,translated
block.connectedglass.borderless_glass_pink,Connecting Pink Stained Glass,つながるピンクの色付きガラス,translated
block.connectedglass.borderless_glass_pink_pane,Connecting Pink Stained Glass Pane,つながるピンクの色付きガラス板,translated
block.connectedglass.borderless_glass_purple,Connecting Purple Stained Glass,つながる紫の色付きガラス,translated
block.connectedglass.borderless_glass_purple_pane,Connecting Purple Stained Glass Pane,つながる紫の色付きガラス板,translated
block.connectedglass.borderless_glass_red,Connecting Red Stained Glass,つながる赤い色付きガラス,translated
block.connectedglass.borderless_glass_red_pane,Connecting Red Stained Glass Pane,つながる赤い色付きガラス板,translated
block.connectedglass.borderless_glass_white,Connecting White Stained Glass,つながる白い色付きガラス,translated
block.connectedglass.borderless_glass_white_pane,Connecting White Stained Glass Pane,つながる白い色付きガラス板,translated
block.connectedglass.borderless_glass_yellow,Connecting Yellow Stained Glass,つながる黄色い色付きガラス,translated
block.connectedglass.borderless_glass_yellow_pane,Connecting Yellow Stained Glass Pane,つながる黄色い色付きガラス板,translated
block.connectedglass.clear_glass,Clear Glass,クリアガラス,translated
block.connectedglass.clear_glass_black,Clear Black Stained Glass,クリア黒い色付きガラス,translated
block.connectedglass.clear_glass_black_pane,Clear Black Stained Glass Pane,クリア黒い色付きガラス板,translated
block.connectedglass.clear_glass_blue,Clear Blue Stained Glass,クリア青い色付きガラス,translated
block.connectedglass.clear_glass_blue_pane,Clear Blue Stained Glass Pane,クリア青い色付きガラス板,translated
