key,source_text,target_text
block.createlowheated.basic_burner,Basic Burner,基本バーナー
block.createlowheated.basic_burner.tooltip,Basic Burner,基本バーナー
block.createlowheated.basic_burner.tooltip.behaviour1,Right click it with _Fuel_ or use a _Funnel/Deployer/Mechanical Arm_.,_燃料_を右クリックするか、_ファンネル/デプロイヤー/メカニカルアーム_を使用してください。
block.createlowheated.basic_burner.tooltip.behaviour2,"To start the _fire_ you need to right-click it with _Flint and Steel_. As long as it's fed continually, the fire will persist.",_火_を着けるには_火打石と打ち金_で右クリックしてください。燃料が供給され続ける限り、火は維持されます。
block.createlowheated.basic_burner.tooltip.behaviour3,Can be empowered by using a Max-RPM fan against it.,最大回転数のファンを当てることで強化できます。
block.createlowheated.basic_burner.tooltip.condition1,Requires Fuel,燃料が必要
block.createlowheated.basic_burner.tooltip.condition2,Requires Flint and Steel,火打石と打ち金が必要
block.createlowheated.basic_burner.tooltip.condition3,Empowered Burner,強化バーナー
block.createlowheated.basic_burner.tooltip.summary,Provides _heat_ to _Basin Recipes_ and the _Steam Engine_.,_盆_のレシピと_蒸気エンジン_に_熱_を供給します。
create.recipe.heat_requirement.lowheated,Low-Heated,低温加熱
itemGroup.createlowheated.base,Create Low-Heated,
