key,source_text,target_text
amount,Amount: %s,量: %s
block.nuclearcraft.advanced_barrel,Advanced Barrel,高度なバレル
block.nuclearcraft.advanced_lithium_ion_battery,Advanced Lithium Ion Battery,高度なリチウムイオン電池
block.nuclearcraft.advanced_storage_container,Advanced Storage Container,高度なストレージコンテナ
block.nuclearcraft.advanced_voltaic_pile,Advanced Voltaic Pile,高度なボルタイック電池
block.nuclearcraft.alloy_smelter,Alloy Smelter,合金製錬炉
block.nuclearcraft.aluminum_block,Aluminum Block,アルミニウム ブロック
block.nuclearcraft.aluminum_heat_sink,Aluminum Heat Sink,アルミニウム ヒートシンク
block.nuclearcraft.americium241_block,Americium241 Block,Americium241 ブロック
block.nuclearcraft.americium_rtg,Americium RTG,アメリシウム 放射性同位体熱電発電機
block.nuclearcraft.analyzer,Analyzer,分析機
block.nuclearcraft.arsenic_heat_sink,Arsenic Heat Sink,ヒ素 ヒートシンク
block.nuclearcraft.assembler,Assembler,アセンブラー
block.nuclearcraft.basic_barrel,Basic Barrel,基本バレル
block.nuclearcraft.basic_electromagnet,Basic Electromagnet,基本電磁石
block.nuclearcraft.basic_electromagnet_slope,Basic Electromagnet Slope,基本電磁石 スロープ
block.nuclearcraft.basic_lithium_ion_battery,Basic Lithium Ion Battery,基本リチウムイオン電池
block.nuclearcraft.basic_rf_amplifier,Basic RF Amplifier,基本RF 増幅器
block.nuclearcraft.basic_storage_container,Basic Storage Container,基本ストレージコンテナ
block.nuclearcraft.basic_voltaic_pile,Basic Voltaic Pile,基本ボルタイック電池
block.nuclearcraft.beryllium_block,Beryllium Block,ベリリウム ブロック
block.nuclearcraft.boron_block,Boron Block,ホウ素 ブロック
block.nuclearcraft.boron_deepslate_ore,Boron Deepslate Ore,ホウ素 デープスレート 鉱石
block.nuclearcraft.boron_heat_sink,Boron Heat Sink,ホウ素 ヒートシンク
block.nuclearcraft.boron_ore,Boron Ore,ホウ素 鉱石
block.nuclearcraft.bronze_block,Bronze Block,青銅ブロック
block.nuclearcraft.bscco_electromagnet,Bscco Electromagnet,BSCCO 電磁石
block.nuclearcraft.bscco_electromagnet_slope,Bscco Electromagnet Slope,BSCCO 電磁石 スロープ
block.nuclearcraft.bscco_rf_amplifier,Bscco RF Amplifier,BSCCO RF 増幅器
block.nuclearcraft.californium250_block,Californium250 Block,Californium250 ブロック
block.nuclearcraft.californium_rtg,Californium RTG,カリホルニウム 放射性同位体熱電発電機
block.nuclearcraft.carobbiite_heat_sink,Carobbiite Heat Sink,カロビアイト ヒートシンク
block.nuclearcraft.centrifuge,Centrifuge,遠心分離機
block.nuclearcraft.chemical_reactor,Chemical Reactor,化学反応装置
block.nuclearcraft.cobalt_block,Cobalt Block,コバルト ブロック
block.nuclearcraft.cobalt_deepslate_ore,Cobalt Deepslate Ore,コバルト デープスレート 鉱石
block.nuclearcraft.cobalt_ore,Cobalt Ore,コバルト 鉱石
block.nuclearcraft.copper_heat_sink,Copper Heat Sink,銅 ヒートシンク
block.nuclearcraft.cryotheum_heat_sink,Cryotheum Heat Sink,クライオテウム ヒートシンク
block.nuclearcraft.crystallizer,Crystallizer,結晶化装置
block.nuclearcraft.decay_hastener,Decay Hastener,崩壊 促進機
block.nuclearcraft.diamond_heat_sink,Diamond Heat Sink,ダイヤモンド ヒートシンク
block.nuclearcraft.du_barrel,DU Barrel,DU バレル
block.nuclearcraft.du_lithium_ion_battery,DU Lithium Ion Battery,DU リチウムイオン電池
block.nuclearcraft.du_storage_container,DU Storage Container,DU ストレージコンテナ
block.nuclearcraft.du_voltaic_pile,DU Voltaic Pile,DU ボルタイック電池
block.nuclearcraft.electrolyzer,Electrolyzer,電解槽
block.nuclearcraft.electrum_block,Electrum Block,エレクトラム ブロック
block.nuclearcraft.elite_barrel,Elite Barrel,エリート バレル
block.nuclearcraft.elite_lithium_ion_battery,Elite Lithium Ion Battery,エリート リチウムイオン電池
block.nuclearcraft.elite_storage_container,Elite Storage Container,エリートストレージコンテナ
block.nuclearcraft.elite_voltaic_pile,Elite Voltaic Pile,エリート ボルタイック電池
block.nuclearcraft.emerald_heat_sink,Emerald Heat Sink,エメラルド ヒートシンク
block.nuclearcraft.empty_active_heat_sink,Empty Active Heat Sink,空 アクティブ ヒートシンク
block.nuclearcraft.empty_heat_sink,Empty Heat Sink,空ヒートシンク
block.nuclearcraft.end_stone_heat_sink,End Stone Heat Sink,エンド石 ヒートシンク
block.nuclearcraft.enderium_heat_sink,Enderium Heat Sink,Enderium ヒートシンク
block.nuclearcraft.extractor,Extractor,抽出機
block.nuclearcraft.fission_reactor_casing,Fission Reactor Casing,核分裂 原子炉 ケーシング
block.nuclearcraft.fission_reactor_controller,Fission Reactor Controller,核分裂 原子炉 コントローラー
block.nuclearcraft.fission_reactor_glass,Fission Reactor Glass,核分裂 原子炉 ガラス
block.nuclearcraft.fission_reactor_irradiation_chamber,Fission Reactor Irradiation Chamber,核分裂 原子炉 照射チャンバー
block.nuclearcraft.fission_reactor_port,Fission Reactor Port,核分裂 原子炉 ポート
block.nuclearcraft.fission_reactor_solid_fuel_cell,Fission Reactor Solid Fuel Cell,核分裂 原子炉 固体燃料セル
block.nuclearcraft.fluid_enricher,Fluid Enricher,液体濃縮機
block.nuclearcraft.fluid_infuser,Fluid Infuser,液体注入機
block.nuclearcraft.fluorite_heat_sink,Fluorite Heat Sink,Fluorite ヒートシンク
block.nuclearcraft.fuel_reprocessor,Fuel Reprocessor,燃料再処理装置
block.nuclearcraft.fusion_core,Fusion Core,核融合 コア
block.nuclearcraft.fusion_reactor_casing,Fusion Reactor Casing,核融合 原子炉 ケーシング
block.nuclearcraft.fusion_reactor_casing_glass,Fusion Reactor Casing Glass,核融合 原子炉 ケーシング ガラス
block.nuclearcraft.fusion_reactor_connector,Fusion Reactor Connector,核融合 原子炉 Connector
block.nuclearcraft.fusion_reactor_core_proxy,Fusion Reactor Core,核融合 原子炉 コア
block.nuclearcraft.gas_scrubber,Gas Scrubber,ガススクラバー
block.nuclearcraft.glowing_mushroom,Glowing Mushroom,発光 キノコ
block.nuclearcraft.glowstone_heat_sink,Glowstone Heat Sink,Glowstone ヒートシンク
block.nuclearcraft.gold_heat_sink,Gold Heat Sink,金 ヒートシンク
block.nuclearcraft.graphite_block,Graphite Block,グラファイトブロック
block.nuclearcraft.ingot_former,Ingot Former,インゴット成形機
block.nuclearcraft.iron_heat_sink,Iron Heat Sink,鉄 ヒートシンク
block.nuclearcraft.irradiator,Irradiator,照射装置
block.nuclearcraft.isotope_separator,Isotope Separator,同位体 分離機
block.nuclearcraft.lapis_heat_sink,Lapis Heat Sink,ラピス ヒートシンク
block.nuclearcraft.leacher,Leacher,浸出装置
block.nuclearcraft.lead_block,Lead Block,鉛 ブロック
block.nuclearcraft.lead_heat_sink,Lead Heat Sink,鉛 ヒートシンク
block.nuclearcraft.lead_ore,Lead Ore,鉛 鉱石
block.nuclearcraft.liquid_helium_heat_sink,Liquid Helium Heat Sink,液体ヘリウム ヒートシンク
block.nuclearcraft.liquid_nitrogen_heat_sink,Liquid Nitrogen Heat Sink,液体窒素 ヒートシンク
block.nuclearcraft.lithium_block,Lithium Block,リチウムブロック
block.nuclearcraft.lithium_deepslate_ore,Lithium Deepslate Ore,リチウム デープスレート 鉱石
block.nuclearcraft.lithium_heat_sink,Lithium Heat Sink,リチウム ヒートシンク
block.nuclearcraft.lithium_ore,Lithium Ore,リチウム 鉱石
block.nuclearcraft.magnesium_block,Magnesium Block,マグネシウム ブロック
block.nuclearcraft.magnesium_deepslate_ore,Magnesium Deepslate Ore,マグネシウム デープスレート 鉱石
block.nuclearcraft.magnesium_diboride_electromagnet,Magnesium Diboride Electromagnet,マグネシウムジボリド 電磁石
block.nuclearcraft.magnesium_diboride_electromagnet_slope,Magnesium Diboride Electromagnet Slope,マグネシウムジボリド 電磁石 スロープ
block.nuclearcraft.magnesium_diboride_rf_amplifier,Magnesium Diboride RF Amplifier,マグネシウムジボリド RF 増幅器
block.nuclearcraft.magnesium_heat_sink,Magnesium Heat Sink,マグネシウム ヒートシンク
block.nuclearcraft.magnesium_ore,Magnesium Ore,マグネシウム 鉱石
block.nuclearcraft.manganese_heat_sink,Manganese Heat Sink,マンガン ヒートシンク
block.nuclearcraft.manufactory,Manufactory,製造工場
block.nuclearcraft.melter,Melter,溶融機
block.nuclearcraft.nether_brick_heat_sink,Nether Brick Heat Sink,ネザーレンガ ヒートシンク
block.nuclearcraft.netherite_heat_sink,Netherite Heat Sink,ネザライト ヒートシンク
block.nuclearcraft.niobium_tin_electromagnet,Niobium Tin Electromagnet,ニオブスズ 電磁石
block.nuclearcraft.niobium_tin_electromagnet_slope,Niobium Tin Electromagnet Slope,ニオブ 錫 電磁石 スロープ
block.nuclearcraft.niobium_tin_rf_amplifier,Niobium Tin RF Amplifier,ニオブスズ RF 増幅器
block.nuclearcraft.niobium_titanium_electromagnet,Niobium Titanium Electromagnet,ニオブチタン 電磁石
block.nuclearcraft.niobium_titanium_electromagnet_slope,Niobium Titanium Electromagnet Slope,ニオブチタン 電磁石 スロープ
block.nuclearcraft.niobium_titanium_rf_amplifier,Niobium Titanium RF Amplifier,ニオブチタン RF 増幅器
block.nuclearcraft.nuclear_furnace,Nuclear Furnace,核の炉
block.nuclearcraft.obsidian_heat_sink,Obsidian Heat Sink,黒曜石 ヒートシンク
block.nuclearcraft.platinum_block,Platinum Block,プラチナブロック
block.nuclearcraft.platinum_deepslate_ore,Platinum Deepslate Ore,プラチナ デープスレート 鉱石
block.nuclearcraft.plutonium238_block,Plutonium238 Block,Plutonium238 ブロック
block.nuclearcraft.plutonium_rtg,Plutonium RTG,プルトニウムRTG
block.nuclearcraft.pressurizer,Pressurizer,加圧機
block.nuclearcraft.prismarine_heat_sink,Prismarine Heat Sink,Prismarine ヒートシンク
block.nuclearcraft.pump,Pump,ポンプ
block.nuclearcraft.purpur_heat_sink,Purpur Heat Sink,パープルヒートシンク
block.nuclearcraft.quartz_heat_sink,Quartz Heat Sink,クォーツヒートシンク
block.nuclearcraft.redstone_heat_sink,Redstone Heat Sink,レッドストーン ヒートシンク
block.nuclearcraft.rock_crusher,Rock Crusher,岩砕機
block.nuclearcraft.silver_block,Silver Block,銀 ブロック
block.nuclearcraft.silver_deepslate_ore,Silver Deepslate Ore,銀 デープスレート 鉱石
block.nuclearcraft.silver_heat_sink,Silver Heat Sink,銀 ヒートシンク
block.nuclearcraft.silver_ore,Silver Ore,銀 鉱石
block.nuclearcraft.slime_heat_sink,Slime Heat Sink,スライムヒートシンク
block.nuclearcraft.solar_panel_advanced,Solar Panel Advanced,ソーラーパネル 高度な
block.nuclearcraft.solar_panel_basic,Solar Panel Basic,ソーラーパネル 基本的な
block.nuclearcraft.solar_panel_du,Solar Panel DU,ソーラーパネル DU
block.nuclearcraft.solar_panel_elite,Solar Panel Elite,ソーラーパネル エリート
block.nuclearcraft.steam_turbine,Steam Turbine,スチームタービン
block.nuclearcraft.steel_block,Steel Block,スチールブロック
block.nuclearcraft.supercold_ice_block,Supercold Ice Block,Supercold Ice ブロック
block.nuclearcraft.supercooler,Supercooler,超冷却器
block.nuclearcraft.thorium_block,Thorium Block,トリウム ブロック
block.nuclearcraft.thorium_deepslate_ore,Thorium Deepslate Ore,トリウム デープスレート 鉱石
block.nuclearcraft.thorium_ore,Thorium Ore,トリウム 鉱石
block.nuclearcraft.tin_block,Tin Block,スズ ブロック
block.nuclearcraft.tin_heat_sink,Tin Heat Sink,スズ ヒートシンク
block.nuclearcraft.tin_ore,Tin Ore,Tin 鉱石
block.nuclearcraft.turbine_aluminium_coil,Turbine Aluminium Coil,タービン アルミニウム コイル
block.nuclearcraft.turbine_basic_rotor_blade,Turbine Basic Rotor Blade,タービン 基本ローターブレード
block.nuclearcraft.turbine_bearing,Turbine Bearing,タービン ベアリング
block.nuclearcraft.turbine_beryllium_coil,Turbine Beryllium Coil,タービン ベリリウム コイル
block.nuclearcraft.turbine_casing,Turbine Casing,タービン ケーシング
block.nuclearcraft.turbine_controller,Turbine Controller,タービン コントローラー
block.nuclearcraft.turbine_copper_coil,Turbine Copper Coil,タービン 銅 コイル
block.nuclearcraft.turbine_extreme_rotor_blade,Turbine Extreme Rotor Blade,タービン 高性能ローターブレード
block.nuclearcraft.turbine_glass,Turbine Glass,タービン ガラス
block.nuclearcraft.turbine_gold_coil,Turbine Gold Coil,タービン ゴールドコイル
block.nuclearcraft.turbine_magnesium_coil,Turbine Magnesium Coil,タービン マグネシウム コイル
block.nuclearcraft.turbine_port,Turbine Port,タービン ポート
block.nuclearcraft.turbine_rotor_shaft,Turbine Rotor Shaft,タービン ローターシャフト
block.nuclearcraft.turbine_sic_sic_cmc_rotor_blade,Turbine Sic Sic Cmc Rotor Blade,タービン Sic Sic Cmc ローターブレード
block.nuclearcraft.turbine_silver_coil,Turbine Silver Coil,タービン Silver コイル
block.nuclearcraft.turbine_steel_rotor_blade,Turbine Steel Rotor Blade,タービン スチールローターブレード
block.nuclearcraft.uranium238_block,Uranium238 Block,ウラン238 ブロック
block.nuclearcraft.uranium_block,Uranium Block,ウラン ブロック
block.nuclearcraft.uranium_deepslate_ore,Uranium Deepslate Ore,ウラン デープスレート 鉱石
block.nuclearcraft.uranium_ore,Uranium Ore,ウラン 鉱石
