key,source_text,target_text
block.culinaryconstruct.culinary_station,Culinary Station,料理ステーション
culinaryconstruct.advancements.culinary_station.description,Craft a sandwich or bowl of food,サンドイッチまたは食べ物のボウルを調理する
culinaryconstruct.advancements.culinary_station.title,Culinarian,料理人
culinaryconstruct.culinary_container,Craft & Name,調理と命名
item.culinaryconstruct.food_bowl,Bowl of Food,食べ物のボウル
item.culinaryconstruct.sandwich,Sandwich,サンドイッチ
item.culinaryconstruct.stew,Stew,シチュー
tooltip.culinaryconstruct.count.2,Double,ダブル
tooltip.culinaryconstruct.count.3,Triple,トリプル
tooltip.culinaryconstruct.count.4,Quadruple,クアッドラプル
tooltip.culinaryconstruct.count.5,Quintuple,クインタプル
tooltip.culinaryconstruct.ingredients,Hold [Shift] for Ingredients,シフトを長押しで材料を表示
tooltip.culinaryconstruct.ingredients.name,Ingredients,材料
tooltip.culinaryconstruct.list.1,%s,材料: %s
tooltip.culinaryconstruct.list.2,%s and %s,%sと%s
tooltip.culinaryconstruct.list.3,"%s, %s, and %s",%s、%s、および%s
tooltip.culinaryconstruct.list.4,"%s, %s, %s, and %s",%s、%s、%s、および%s
tooltip.culinaryconstruct.list.5,"%s, %s, %s, %s, and %s",%s、%s、%s、%s、および%s
tooltip.culinaryconstruct.nutrition,Nutrition,栄養
tooltip.culinaryconstruct.quality.0,Disgusting,ひどい
tooltip.culinaryconstruct.quality.1,Bland,味気ない
tooltip.culinaryconstruct.quality.2,Average,普通
tooltip.culinaryconstruct.quality.3,Tasty,おいしい
tooltip.culinaryconstruct.quality.4,Delicious,絶品
tooltip.culinaryconstruct.saturation,Saturation,満腹度
