key,source_text,target_text
arcade.buildersaddition.game.breakout,Breakout,ブレイクアウト
arcade.buildersaddition.game.credits,Credits,クレジット
arcade.buildersaddition.game.minesweaper,Minesweeper,マインスイーパー
arcade.buildersaddition.game.snake,Snake,ヘビ
arcade.buildersaddition.game.tetris,Tetris,テトリス
arcade.buildersaddition.menu.select,Select a game with [UP] and [DOWN],[UP] と [DOWN] でゲームを選択
arcade.buildersaddition.menu.start,Start the game with [ENTER] or [SPACE],[ENTER]または[SPACE]でゲームを開始
block.buildersaddition.acacia_vertical_slab,Acacia Panel,アカシアパネル
block.buildersaddition.andesite_vertical_slab,Andesite Panel,安山岩パネル
block.buildersaddition.arcade,Obsolete Arcade,廃止されたアーケード
block.buildersaddition.arcade_acacia,Acacia Arcade,アカシアアーカード
block.buildersaddition.arcade_birch,Birch Arcade,シラカバアーカード
block.buildersaddition.arcade_crimson,Crimson Arcade,真紅アーケード
block.buildersaddition.arcade_dark_oak,Dark Oak Arcade,ダークオークアーケード
block.buildersaddition.arcade_jungle,Jungle Arcade,ジャングルアーカード
block.buildersaddition.arcade_oak,Oak Arcade,オーク アーカード
block.buildersaddition.arcade_spruce,Spruce Arcade,トウヒ・アーケード
block.buildersaddition.arcade_warped,Warped Arcade,歪んだアーカード
block.buildersaddition.bedside_table_acacia,Acacia Bedside Table,アカシアのベッドサイドテーブル
block.buildersaddition.bedside_table_birch,Birch Bedside Table,シラカバのベッドサイドテーブル
block.buildersaddition.bedside_table_crimson,Crimson Bedside Table,真紅 ベッドサイドテーブル
block.buildersaddition.bedside_table_dark_oak,Dark Oak Bedside Table,ダークオークのベッドサイドテーブル
block.buildersaddition.bedside_table_jungle,Jungle Bedside Table,ジャングルベッドサイドテーブル
block.buildersaddition.bedside_table_oak,Oak Bedside Table,オークベッドサイドテーブル
block.buildersaddition.bedside_table_spruce,Spruce Bedside Table,トウヒベッドサイドテーブル
block.buildersaddition.bedside_table_warped,Warped Bedside Table,歪んだベッドサイドテーブル
block.buildersaddition.bench_acacia,Acacia Bench,アカシアのベンチ
block.buildersaddition.bench_birch,Birch Bench,シラカバのベンチ
block.buildersaddition.bench_crimson,Nether Bench,下界ベンチ
block.buildersaddition.bench_dark_oak,Dark Oak Bench,ダークオークのベンチ
block.buildersaddition.bench_jungle,Jungle Bench,ジャングルベンチ
block.buildersaddition.bench_oak,Oak Bench,オークのベンチ
block.buildersaddition.bench_spruce,Spruce Bench,トウヒのベンチ
block.buildersaddition.bench_warped,Warped Bench,歪んだのベンチ
block.buildersaddition.birch_vertical_slab,Birch Panel,シラカバパネル
block.buildersaddition.blackstone_vertical_slab,Blackstone Panel,ブラックストーンパネル
block.buildersaddition.bookshelf_acacia,Acacia Bookshelf,アカシアの本棚
block.buildersaddition.bookshelf_birch,Birch Bookshelf,シラカバの本棚
block.buildersaddition.bookshelf_crimson,Crimson Bookshelf,真紅の本棚
block.buildersaddition.bookshelf_dark_oak,Dark Oak Bookshelf,ダークオークの本棚
block.buildersaddition.bookshelf_jungle,Jungle Bookshelf,ジャングルの本棚
block.buildersaddition.bookshelf_oak,Oak Bookshelf,オークの本棚
block.buildersaddition.bookshelf_spruce,Spruce Bookshelf,トウヒの本棚
block.buildersaddition.bookshelf_warped,Warped Bookshelf,歪んだの本棚
block.buildersaddition.cabinet_acacia,Acacia Cabinet,アカシアのキャビネット
block.buildersaddition.cabinet_birch,Birch Cabinet,シラカバのキャビネット
block.buildersaddition.cabinet_crimson,Crimson Cabinet,真紅キャビネット
block.buildersaddition.cabinet_dark_oak,Dark Oak Cabinet,ダークオークのキャビネット
block.buildersaddition.cabinet_jungle,Jungle Cabinet,ジャングルのキャビネット
block.buildersaddition.cabinet_oak,Oak Cabinet,オークのキャビネット
block.buildersaddition.cabinet_spruce,Spruce Cabinet,トウヒキャビネット
block.buildersaddition.cabinet_warped,Warped Cabinet,ウォーデンの戸棚
block.buildersaddition.candle,Candle,ろうそく
block.buildersaddition.cobblestone_vertical_slab,Cobblestone Panel,パネル 丸石
block.buildersaddition.crimson_vertical_slab,Crimson Panel,真紅パネル
block.buildersaddition.crossrail,Crossrail,クロスレール
block.buildersaddition.cupboard_acacia,Acacia Cupboard,アカシアのキャビネット
block.buildersaddition.cupboard_birch,Birch Cupboard,シラカバのキャビネット
block.buildersaddition.cupboard_crimson,Crimson Cupboard,真紅キャビネット
block.buildersaddition.cupboard_dark_oak,Dark Oak Cupboard,ダークオークのキャビネット
block.buildersaddition.cupboard_jungle,Jungle Cupboard,ジャングルキャビネット
block.buildersaddition.cupboard_oak,Oak Cupboard,オークのキャビネット
block.buildersaddition.cupboard_spruce,Spruce Cupboard,トウヒキャビネット
block.buildersaddition.cupboard_warped,Warped Cupboard,歪んだの食器棚
block.buildersaddition.cut_basalt_pillar,Cut Basalt Pillar,切断された玄武岩柱
block.buildersaddition.cut_blackstone_pillar,Cut Blackstone Bricks Pillar,ブラックストーン・レンガ・ピラーを切る
block.buildersaddition.cut_bricks_pillar,Cut Bricks Pillar,切り取られたレンガの柱
block.buildersaddition.cut_cobblestone_pillar,Cut Cobblestone Pillar,切断された丸石柱
block.buildersaddition.cut_end_stone_bricks_pillar,Cut End Stone Bricks Pillar,切断されたエンドストーンブロックの柱
block.buildersaddition.cut_mossy_cobblestone_pillar,Cut Mossy Cobblestone Pillar,苔の丸石柱を切断
block.buildersaddition.cut_mossy_stone_bricks_pillar,Cut Mossy Stone Bricks Pillar,切断された苔むした石レンガの柱
block.buildersaddition.cut_nether_bricks_pillar,Cut Nether Bricks Pillar,切断されたネザーレンガの柱
block.buildersaddition.cut_prismarine_pillar,Cut Prismarine Pillar,切断されたプリズマリン柱
block.buildersaddition.cut_purpur_pillar,Cut Purpur Pillar,切断された紫の柱
block.buildersaddition.cut_quartz_bricks_pillar,Cut Quartz Bricks Pillar,切り取られた石英レンガの柱
block.buildersaddition.cut_quartz_pillar,Cut Quartz Pillar,クォーツ柱
block.buildersaddition.cut_red_nether_bricks_pillar,Cut Red Nether Bricks Pillar,切断された赤いネザー・レンガの柱
block.buildersaddition.cut_red_sandstone_pillar,Cut Red Sandstone Pillar,切断した赤い砂岩の柱
block.buildersaddition.cut_red_sandstone_vertical_slab,Cut Red Sandstone Panel,赤い砂岩パネルを切断
block.buildersaddition.cut_sandstone_pillar,Cut Sandstone Pillar,切断砂岩柱
block.buildersaddition.cut_sandstone_vertical_slab,Cut Sandstone Panel,切断された砂岩パネル
block.buildersaddition.cut_smooth_red_sandstone_pillar,Cut Smooth Red Sandstone Pillar,滑らかな赤い砂岩の柱
block.buildersaddition.cut_smooth_sandstone_pillar,Cut Smooth Sandstone Pillar,切断された滑らかな砂岩の柱
block.buildersaddition.cut_smooth_stone_pillar,Cut Smooth Stone Pillar,滑らかな石柱を切断
block.buildersaddition.cut_stone_bricks_pillar,Cut Stone Bricks Pillar,切石レンガの柱
block.buildersaddition.cut_stone_pillar,Cut Stone Pillar,切断石柱
block.buildersaddition.dark_oak_vertical_slab,Dark Oak Panel,ダークオークパネル
block.buildersaddition.dark_prismarine_vertical_slab,Dark Prismarine Panel,暗いプリズマリンパネル
block.buildersaddition.diorite_vertical_slab,Diorite Panel,斑岩パネル
block.buildersaddition.entity_detector,Detector,検出器
block.buildersaddition.fireplace_guard,Fireplace Guard,ファイヤープレイスガード
block.buildersaddition.granite_vertical_slab,Granite Panel,花崗岩パネル
block.buildersaddition.gravel_path,Gravel Path,砂利道
block.buildersaddition.hedge_acacia,Acacia Hedge,アカシアの生け垣
block.buildersaddition.hedge_birch,Birch Hedge,シラカバのフェンス
block.buildersaddition.hedge_crimson,Nether Hedge,ネザー生け垣
block.buildersaddition.hedge_dark_oak,Dark Oak Hedge,ダークオークの生け垣
block.buildersaddition.hedge_jungle,Jungle Hedge,ジャングルの生け垣
block.buildersaddition.hedge_oak,Oak Hedge,オークの生け垣
block.buildersaddition.hedge_spruce,Spruce Hedge,トウヒの生け垣
block.buildersaddition.hedge_warped,Warped Hedge,歪んだの生け垣
block.buildersaddition.iron_fence,Iron Fence,鉄のフェンス
block.buildersaddition.iron_fence_rough,Cast Iron Fence,キャストアイアンフェンス
block.buildersaddition.iron_ladder,Iron Ladder,鉄のはしご
block.buildersaddition.iron_ladder_rough,Cast Iron Ladder,鉄製階段
block.buildersaddition.jungle_vertical_slab,Jungle Panel,ジャングルパネル
block.buildersaddition.large_candle,Large Candle,大きなろうそく
block.buildersaddition.large_soul_candle,Large Soul Candle,大型ソウルろうそく
block.buildersaddition.luminus_glass_black,Black Luminus Glass,ブラック・ルミナス・ガラス
block.buildersaddition.luminus_glass_blue,Blue Luminus Glass,青いルミナスガラス
block.buildersaddition.luminus_glass_brown,Brown Luminus Glass,茶色のルミナスガラス
block.buildersaddition.luminus_glass_cyan,Cyan Luminus Glass,青緑・ルミナスガラス
block.buildersaddition.luminus_glass_gray,Gray Luminus Glass,灰色のルミナスガラス
block.buildersaddition.luminus_glass_green,Green Luminus Glass,緑のルミナスガラス
block.buildersaddition.luminus_glass_light_blue,Light Blue Luminus Glass,空色・ルミナスガラス
block.buildersaddition.luminus_glass_light_gray,Light Gray Luminus Glass,薄灰色のルミナスガラス
block.buildersaddition.luminus_glass_lime,Lime Luminus Glass,黄緑・ルミナスガラス
block.buildersaddition.luminus_glass_magenta,Magenta Luminus Glass,赤紫光るガラス
block.buildersaddition.luminus_glass_orange,Orange Luminus Glass,橙のルミナスガラス
block.buildersaddition.luminus_glass_pink,Pink Luminus Glass,桃色・ルミナスガラス
block.buildersaddition.luminus_glass_purple,Purple Luminus Glass,紫のルミナスガラス
block.buildersaddition.luminus_glass_red,Red Luminus Glass,赤いルミナスガラス
block.buildersaddition.luminus_glass_white,White Luminus Glass,白いルミナスガラス
block.buildersaddition.luminus_glass_yellow,Yellow Luminus Glass,黄のルミナスガラス
block.buildersaddition.mossy_cobblestone_vertical_slab,Mossy Cobblestone Panel,苔の丸石パネル
block.buildersaddition.oak_vertical_slab,Oak Panel,オークのパネル
block.buildersaddition.pillow_black,Black Pillow,黒い枕
block.buildersaddition.pillow_blue,Blue Pillow,青い枕
block.buildersaddition.pillow_brown,Brown Pillow,茶色の枕
block.buildersaddition.pillow_cyan,Cyan Pillow,水色の枕
block.buildersaddition.pillow_gray,Gray Pillow,灰色の枕
block.buildersaddition.pillow_green,Green Pillow,緑の枕
block.buildersaddition.pillow_light_blue,Light Blue Pillow,空色の枕
block.buildersaddition.pillow_light_gray,Light Gray Pillow,薄灰色の枕
block.buildersaddition.pillow_lime,Lime Pillow,黄緑の枕
block.buildersaddition.pillow_magenta,Magenta Pillow,赤紫の枕
