key,source_text,target_text
ftbl.gamemode.loaded,Gamemode set to '%s'!,ゲームモードを '%s' に設定しました!
ftbl.gamemode.not_found,Gamemode does not exist!,ゲームモードは存在しません！
ftbl.gamemode.already_set,Gamemode already set!,ゲームモードは既に設定されています!
ftbl.gamemode.current,Current gamemode: %s,現在のゲームモード: %s
ftbl.gamemode.list,Available gamemodes: %s,利用可能なゲームモード: %s
ftbl.worldID,WorldID: %s,世界ID: %s
ftbl.reloaded_server,FTBLib: Server reloaded in %s,FTBLib: サーバーを再読み込み中 (%s)
ftbl.reloaded_client,FTBLib: Client reloaded in %s,FTBLib: クライアントを再読み込み中 (%s)
ftbl.missing_args,Missing Arguments!,引数が不足しています!
ftbl.feature_disabled,This feature is disabled!,この機能は無効化されています！
ftbl.invalid_subcmd,Invalid subcommand: '%s'!,無効なサブコマンド: '%s'!
ftbl.owner,Owner: %s,所有者: %s
ftbl.delete_item,Do you want to delete '%s'?,「%s」を削除しますか？
ftbl.label.server_forced,Server overrides to '%s',サーバーが'%s'に上書きされました
ftbl.reload_client_config,Server Reloaded. You can,サーバー再読み込み。続けることができます
ftbl.button.shortcut.action,Action,アクション
ftbl.button.shortcut.data,Action Data,アクションデータ
ftbl.button.shortcut.key,Key,鍵
ftbl.button.shortcut.icon,Icon,アイコン
ftbl.button.shortcut.title,Title,タイトル
ftbl.button.shortcut.priority,Priority,優先度
ftbl.button.shortcut.add_key,Add Key Shortcut,キーボードショートカットを追加
ftbl.button.shortcut.add_button,Add Button Shortcut,ボタンショートカットを追加
ftbl.button.settings,Settings,設定
ftbl.button.back,Back,戻る
ftbl.button.up,Up,上
ftbl.button.down,Down,下
ftbl.button.prev,Previous,前へ
ftbl.button.next,Next,次へ
ftbl.button.cancel,Cancel,キャンセル
ftbl.button.accept,Accept,承認
ftbl.button.remove,Remove,削除
ftbl.button.add,Add,追加
ftbl.button.close,Close,閉じる
ftbl.button.save,Save,保存
ftbl.button.refresh,Refresh,再読み込み
ftbl.button.other,Other,その他
ftbl.button.edit,Edit,編集
ftbl.button.info,Info,情報
ftbl.label.true,True,真
ftbl.label.false,False,偽
ftbl.label.enabled,Enabled,有効
ftbl.label.disabled,Disabled,無効
ftbl.label.on,On,オン
ftbl.label.off,Off,オフ
ftbl.label.online,Online,オンライン
ftbl.label.offline,Offline,オフライン
ftbl.label.whitelist,Whitelist,白リスト
ftbl.label.blacklist,Blacklist,黒リスト
ftbl.color.black,Black,黒
ftbl.color.red,Red,赤
ftbl.color.green,Green,緑
ftbl.color.brown,Brown,茶
ftbl.color.blue,Blue,青
ftbl.color.purple,Purple,紫
ftbl.color.cyan,Cyan,青緑
ftbl.color.lightgray,Light Gray,薄灰色
ftbl.color.gray,Dark Gray,ダークグレイ
ftbl.color.pink,Pink,桃色
ftbl.color.lime,Lime,黄緑
ftbl.color.yellow,Yellow,黄
ftbl.color.lightblue,Light Blue,空色
ftbl.color.magenta,Magenta,赤紫
ftbl.color.orange,Orange,橙
ftbl.color.white,White,白
ftbl.side.down,Down,下
ftbl.side.up,Up,上
ftbl.side.north,North,北
ftbl.side.south,South,南
ftbl.side.west,West,西
ftbl.side.east,East,東
ftbl.dside.bottom,Bottom,下
ftbl.dside.top,Top,上
ftbl.dside.back,Back,戻る
ftbl.dside.front,Front,前
ftbl.dside.left,Left,左
ftbl.dside.right,Right,右
client_config,Client Config,クライアント設定
client_config.ftbl,FTBLib,
client_config.ftbl.item_ore_names,Item OreDict Names,アイテムのOreDict名
client_config.ftbl.item_reg_names,Item Registry Names,アイテム登録名
client_config.ftbl.debug_info,Debug Info,デバッグ情報
client_config.ftbl.notifications,Notifications,通知
client_config.ftbl.reload_client_cmd,Client Reloading Command,クライアント再読み込みコマンド
client_config.ftbl.action_buttons_on_top,Action Buttons On Top,アクションボタンを上に表示
client_config.ftbl.player_options_shortcut,Player Options Shortcut,プレイヤーオプションショートカット
client_config.ftbl.key_bindings,Key Bindings,キー割り当て
client_config.ftbl.edit_shortcuts,Edit Shortcuts,ショートカット編集
client_config.ftbl.light_value_texture,Light Value Texture,光値テクスチャ
client_config.sidebar_buttons,Sidebar Buttons,サイドバーのボタン
player_action.ftbl.settings,Client Settings,クライアント設定
player_action.ftbl.notifications,Notifications,通知
player_action.ftbl.toggle_gamemode,Toggle Gamemode,ゲームモードの切り替え
player_action.ftbl.toggle_rain,Toggle Rain,雨をトグル
player_action.ftbl.toggle_day,Set time to Day,時刻を昼間に設定
player_action.ftbl.toggle_night,Set time to Night,時刻を夜間に設定
player_action.ftbl.toggle_chunk_bounds,Toggle Chunk Bounds,チャンク境界を切り替え
player_action.ftbl.toggle_light_values,Toggle Light Values,光値を切り替え
ftbl.security,Security,セキュリティ
ftbl.security.public,Public,公開
ftbl.security.private,Private,プライベート
ftbl.security.friends,Friends,友達
ftbl.security.group,Group,グループ
ftbl.redstonemode,Redstone Mode,レッドストーンモード
ftbl.redstonemode.disabled,Disabled,無効
ftbl.redstonemode.high,Active High,アクティブな高さ
ftbl.redstonemode.low,Active Low,アクティブ・ロー
ftbl.invmode,Automation,自動化
ftbl.invmode.enabled,Enabled,有効
ftbl.invmode.onlyin,Insert Only,挿入のみ
ftbl.invmode.onlyout,Extract Only,抽出のみ
ftbl.invmode.disabled,Disabled,無効
click_action.cmd,Command,コマンド
click_action.show_cmd,Show Command,コマンドを表示
click_action.url,Open URL,URLを開く
click_action.file,Open File,ファイルを開く
click_action.gui,Open Gui,GUIを開く
