key,source_text,target_text,status
block.mcwfences.acacia_curved_gate,Acacia Curved Gate,アカシアの曲線ゲート,translated
block.mcwfences.acacia_hedge,Acacia Hedge,アカシアの生垣,translated
block.mcwfences.acacia_highley_gate,Acacia Highley Gate,アカシアのハイリーゲート,translated
block.mcwfences.acacia_horse_fence,Acacia Horse Fence,アカシアの馬用フェンス,translated
block.mcwfences.acacia_picket_fence,Acacia Picket Fence,アカシアのピケットフェンス,translated
block.mcwfences.acacia_pyramid_gate,Acacia Pyramid Gate,アカシアのピラミッドゲート,translated
block.mcwfences.acacia_stockade_fence,Acacia Stockade Fence,アカシアの木柵フェンス,translated
block.mcwfences.acacia_wired_fence,Acacia Wired Fence,アカシアの有刺フェンス,translated
block.mcwfences.acorn_metal_fence,Acorn Metal Fence,どんぐり金属フェンス,translated
block.mcwfences.andesite_grass_topped_wall,Andesite Grass Topped Wall,安山岩の草付き壁,translated
block.mcwfences.andesite_pillar_wall,Andesite Pillar Wall,安山岩の柱状の壁,translated
block.mcwfences.andesite_railing_gate,Andesite Railing Gate,安山岩の手すりゲート,translated
block.mcwfences.azalea_hedge,Azalea Hedge,ツツジの生垣,translated
block.mcwfences.bamboo_curved_gate,Bamboo Curved Gate,竹の曲線ゲート,translated
block.mcwfences.bamboo_fence,Bamboo Fence,竹のフェンス,translated
block.mcwfences.bamboo_highley_gate,Bamboo Highley Gate,竹のハイリーゲート,translated
block.mcwfences.bamboo_horse_fence,Bamboo Horse Fence,竹の馬用フェンス,translated
block.mcwfences.bamboo_picket_fence,Bamboo Picket Fence,竹のピケットフェンス,translated
block.mcwfences.bamboo_pyramid_gate,Bamboo Pyramid Gate,竹のピラミッドゲート,translated
block.mcwfences.bamboo_stockade_fence,Bamboo Stockade Fence,竹の木柵フェンス,translated
block.mcwfences.bamboo_wired_fence,Bamboo Wired Fence,竹の有刺フェンス,translated
block.mcwfences.bastion_metal_fence,Bastion Metal Fence,要塞金属フェンス,translated
block.mcwfences.bastion_metal_fence_gate,Bastion Metal Fence Gate,要塞金属フェンスゲート,translated
block.mcwfences.birch_curved_gate,Birch Curved Gate,白樺の曲線ゲート,translated
block.mcwfences.birch_hedge,Birch Hedge,白樺の生垣,translated
block.mcwfences.birch_highley_gate,Birch Highley Gate,白樺のハイリーゲート,translated
block.mcwfences.birch_horse_fence,Birch Horse Fence,白樺の馬用フェンス,translated
block.mcwfences.birch_picket_fence,Birch Picket Fence,白樺のピケットフェンス,translated
block.mcwfences.birch_pyramid_gate,Birch Pyramid Gate,白樺のピラミッドゲート,translated
block.mcwfences.birch_stockade_fence,Birch Stockade Fence,白樺の木柵フェンス,translated
block.mcwfences.birch_wired_fence,Birch Wired Fence,白樺の有刺フェンス,translated
block.mcwfences.blackstone_brick_railing_gate,Blackstone Brick Railing Gate,ブラックストーンレンガの手すりゲート,translated
block.mcwfences.blackstone_grass_topped_wall,Blackstone Grass Topped Wall,ブラックストーンの草付き壁,translated
block.mcwfences.blackstone_pillar_wall,Blackstone Pillar Wall,ブラックストーンの柱状の壁,translated
block.mcwfences.blackstone_railing_gate,Blackstone Railing Gate,ブラックストーンの手すりゲート,translated
block.mcwfences.cathedral_metal_fence,Cathedral Metal Fence,大聖堂金属フェンス,translated
block.mcwfences.cherry_curved_gate,Cherry Curved Gate,サクラの曲線ゲート,translated
block.mcwfences.cherry_hedge,Cherry Hedge,サクラの生垣,translated
block.mcwfences.cherry_highley_gate,Cherry Highley Gate,サクラのハイリーゲート,translated
block.mcwfences.cherry_horse_fence,Cherry Horse Fence,サクラの馬用フェンス,translated
block.mcwfences.cherry_picket_fence,Cherry Picket Fence,サクラのピケットフェンス,translated
block.mcwfences.cherry_pyramid_gate,Cherry Pyramid Gate,サクラのピラミッドゲート,translated
block.mcwfences.cherry_stockade_fence,Cherry Stockade Fence,サクラの木柵フェンス,translated
block.mcwfences.cherry_wired_fence,Cherry Wired Fence,サクラの有刺フェンス,translated
block.mcwfences.crimson_curved_gate,Crimson Curved Gate,深紅の曲線ゲート,translated
block.mcwfences.crimson_highley_gate,Crimson Highley Gate,深紅のハイリーゲート,translated
block.mcwfences.crimson_horse_fence,Crimson Horse Fence,深紅の馬用フェンス,translated
block.mcwfences.crimson_picket_fence,Crimson Picket Fence,深紅のピケットフェンス,translated
block.mcwfences.crimson_pyramid_gate,Crimson Pyramid Gate,深紅のピラミッドゲート,translated
block.mcwfences.crimson_stockade_fence,Crimson Stockade Fence,深紅の木柵フェンス,translated
block.mcwfences.crimson_wired_fence,Crimson Wired Fence,深紅の有刺フェンス,translated
block.mcwfences.curved_metal_fence,Curved Metal Fence,曲線金属フェンス,translated
block.mcwfences.curved_metal_fence_gate,Curved Metal Fence Gate,曲線金属フェンスゲート,translated
block.mcwfences.dark_oak_curved_gate,Dark Oak Curved Gate,黒樫の曲線ゲート,translated
block.mcwfences.dark_oak_hedge,Dark Oak Hedge,黒樫の生垣,translated
block.mcwfences.dark_oak_highley_gate,Dark Oak Highley Gate,黒樫のハイリーゲート,translated
block.mcwfences.dark_oak_horse_fence,Dark Oak Horse Fence,黒樫の馬用フェンス,translated
block.mcwfences.dark_oak_picket_fence,Dark Oak Picket Fence,黒樫のピケットフェンス,translated
block.mcwfences.dark_oak_pyramid_gate,Dark Oak Pyramid Gate,黒樫のピラミッドゲート,translated
block.mcwfences.dark_oak_stockade_fence,Dark Oak Stockade Fence,黒樫の木柵フェンス,translated
block.mcwfences.dark_oak_wired_fence,Dark Oak Wired Fence,黒樫の有刺フェンス,translated
block.mcwfences.deepslate_brick_grass_topped_wall,Deepslate Brick Grass Topped Wall,ディープスレートレンガの草付き壁,translated
block.mcwfences.deepslate_brick_pillar_wall,Deepslate Brick Pillar Wall,ディープスレートレンガの柱状の壁,translated
block.mcwfences.deepslate_brick_railing_gate,Deepslate Brick Railing Gate,ディープスレートレンガの手すりゲート,translated
block.mcwfences.deepslate_grass_topped_wall,Deepslate Grass Topped Wall,ディープスレートの草付き壁,translated
block.mcwfences.deepslate_pillar_wall,Deepslate Pillar Wall,ディープスレートの柱状の壁,translated
block.mcwfences.deepslate_railing_gate,Deepslate Railing Gate,ディープスレートの手すりゲート,translated
block.mcwfences.diorite_grass_topped_wall,Diorite Grass Topped Wall,花崗閃緑岩の草付き壁,translated
block.mcwfences.diorite_pillar_wall,Diorite Pillar Wall,花崗閃緑岩の柱状の壁,translated
block.mcwfences.diorite_railing_gate,Diorite Railing Gate,花崗閃緑岩の手すりゲート,translated
block.mcwfences.double_curved_metal_fence,Double Curved Metal Fence,二重曲線金属フェンス,translated
block.mcwfences.end_brick_grass_topped_wall,End Brick Grass Topped Wall,エンドレンガの草付き壁,translated
block.mcwfences.end_brick_pillar_wall,End Brick Pillar Wall,エンドレンガの柱状の壁,translated
block.mcwfences.end_brick_railing_gate,End Brick Railing Gate,エンドレンガの手すりゲート,translated
block.mcwfences.expanded_mesh_metal_fence,Expanded Mesh Metal Fence,拡張メッシュ金属フェンス,translated
block.mcwfences.flowering_azalea_hedge,Flowering Azalea Hedge,花咲くツツジの生垣,translated
block.mcwfences.fortress_metal_fence,Fortress Metal Fence,要塞金属フェンス,translated
block.mcwfences.gothic_metal_fence,Gothic Metal Fence,ゴシック金属フェンス,translated
block.mcwfences.granite_grass_topped_wall,Granite Grass Topped Wall,花崗岩の草付き壁,translated
