key,source_text,target_text
block.easy_villagers.auto_trader,Auto Trader,自動取引ブロック
block.easy_villagers.breeder,Breeder,繁殖ブロック
block.easy_villagers.converter,Converter,ゾンビ化ブロック
block.easy_villagers.farmer,Farmer,農業ブロック
block.easy_villagers.incubator,Incubator,成長促進ブロック
block.easy_villagers.iron_farm,Iron Farm,製鉄所ブロック
block.easy_villagers.trader,Trader,取引ブロック
category.easy_villagers,Easy Villagers,簡単な村人
config.jade.plugin_easy_villagers.breeder,Breeder,繁殖
config.jade.plugin_easy_villagers.converter,Converter,ゾンビ化
config.jade.plugin_easy_villagers.villager,Villager,村人
gui.easy_villagers.food_items,Food Items,食料アイテム
gui.easy_villagers.input,Input Items,入力アイテム
gui.easy_villagers.input_villagers,Villager Input,入力村人
gui.easy_villagers.output,Output Items,出力アイテム
gui.easy_villagers.output_items,Output,出力アイテム
gui.easy_villagers.output_villagers,Villager Output,出力村人
item.easy_villagers.baby_villager,Baby Villager,子供の村人
item.easy_villagers.villager,Villager,村人
itemGroup.easy_villagers,Easy Villagers,簡単な村人
jei.easy_villagers.breeding,Breeding,繁殖中
jei.easy_villagers.converting,Converting,ゾンビ化中
jei.easy_villagers.incubating,Incubating,成長促進中
key.easy_villagers.cycle_trades,Cycle Trades,取引更新
key.easy_villagers.pick_up,Pick Up,村人回収
tooltip.easy_villagers.cycle_trades,Cycle Trades,取引更新
tooltip.easy_villagers.villager_profession,%s (%s),%s (%s)
tooltip.easy_villagers.zombie_villager_profession,%s (%s),%s (%s)
