key,source_text,target_text
sounds.coolrain.rain_sounds_amethyst,Rain causes amethyst to chime,雨がアメジストを鳴らす
sounds.coolrain.rain_sounds_fabric,Rain on fabric,布に雨
sounds.coolrain.rain_sounds_fabric_muffled,Muffled rain on fabric,布に雨が響き消える
sounds.coolrain.rain_sounds_foliage,Rain on leaves,葉に雨
sounds.coolrain.rain_sounds_glass,Rain on glass,ガラスに雨
sounds.coolrain.rain_sounds_glass_muffled,Muffled rain on glass,ガラスにかすれた雨音
sounds.coolrain.rain_sounds_lava,Heat sizzles from rain,雨が熱を帯びてさざめく
sounds.coolrain.rain_sounds_metal,Rain on metal,金属に雨
sounds.coolrain.rain_sounds_metal_muffled,Muffled rain on metal,金属にかすれた雨音
sounds.coolrain.rain_sounds_noteblock,Rain causes noteBlock to chime,雨が降るとノートブロックがチャイムします
sounds.coolrain.rain_sounds_water,Rain on water,水に雨
