key,source_text,target_text
advancements.simplefarming.berries.description,Collect all wild berry variants,全種類のベリーを集める
advancements.simplefarming.berries.title,Berry Good!,ベリーグッド!
advancements.simplefarming.birthday_cake.description,Craft a birthday cake to celebrate!,誕生日ケーキを作ってお祝いしよう!
advancements.simplefarming.birthday_cake.title,For Someone Special,誰かの特別
advancements.simplefarming.cheese.description,Craft a wheel of cheese using vinegar,酢を使ってチーズを作る
advancements.simplefarming.cheese.title,Straight From the Farm,産地直送
advancements.simplefarming.cheeseburger.description,Consume a hearty cheeseburger,チーズバーガーをたらふく食べる
advancements.simplefarming.cheeseburger.title,Big Kahuna Burger,ビッグカフナバーガー
advancements.simplefarming.crops.description,Grow and gather every edible crop,全種類の作物を収穫する
advancements.simplefarming.crops.title,Cream Of The Crop,選りすぐり
advancements.simplefarming.grapes.description,Grow and gather grapes from a vineyard,ブドウを収穫する
advancements.simplefarming.grapes.title,Botanically A Berry,植物学的にはベリー類
advancements.simplefarming.root.description,So many foods to choose from!,お好きにどうぞ!
advancements.simplefarming.scarecrow.description,Craft a scarecrow to prevent your crops from being trampled!,かかしを作って作物を守ろう!
advancements.simplefarming.scarecrow.title,Farmer's Best Friend,農家の永遠の友人
advancements.simplefarming.wine.description,Craft a bottle of wine using grapes in the brewing barrel,醸造樽にブドウを入れてワインを作る
advancements.simplefarming.wine.title,Belt The Grape,大酒飲み
block.simplefarming.apple_leaves,Apple Leaves,リンゴの葉
block.simplefarming.apple_sapling,Apple Sapling,リンゴの苗木
block.simplefarming.apricot_leaves,Apricot Leaves,アンズの葉
block.simplefarming.apricot_sapling,Apricot Sapling,アンズの苗木
block.simplefarming.banana_leaves,Banana Leaves,バナナの葉
block.simplefarming.banana_sapling,Banana Sapling,バナナの苗木
block.simplefarming.barley_crop,Barley Crop,大麦の収穫物
block.simplefarming.barley_hay_block,Barley Hay Bale,大麦の俵
block.simplefarming.birthday_cake,Birthday Cake,誕生日ケーキ
block.simplefarming.blackberry_bush,Blackberry Bush,ブラックベリーの茂み
block.simplefarming.blueberry_bush,Blueberry Bush,ブルーベリーの低木
block.simplefarming.brewing_barrel,Brewing Barrel,製造用バーレル
block.simplefarming.broccoli_crop,Broccoli Crop,ブロッコリーの収穫物
block.simplefarming.cactus_crop,Opuntia,オプンチア
block.simplefarming.cantaloupe_block,Cantaloupe,マスクメロン
block.simplefarming.cantaloupe_crop,Cantaloupe Crop,マスクメロンの収穫物
block.simplefarming.carrot_crop,Carrot Crop,ニンジン
block.simplefarming.cassava_crop,Cassava Crop,キャッサバの作物
block.simplefarming.cheese_block,Wheel of Cheese,チーズ
block.simplefarming.cherry_leaves,Cherry Leaves,サクランボの葉
block.simplefarming.cherry_sapling,Cherry Sapling,サクラの苗木
block.simplefarming.chicory,Chicory,チコリ
block.simplefarming.chocolate_cake,Chocolate Cake,チョコレートケーキ
block.simplefarming.corn_crop,Corn Crop,トウモロコシ
block.simplefarming.cotton_crop,Cotton Crop,綿花の収穫物
block.simplefarming.cucumber_crop,Cucumber Crop,キュウリの収穫物
block.simplefarming.cumin,Cumin,クミン
block.simplefarming.eggplant_crop,Eggplant Crop,ナスの収穫物
block.simplefarming.fruit_log,Fruit Log,果樹の原木
block.simplefarming.fruit_planks,Fruit Planks,果樹の板材
block.simplefarming.ginger_crop,Ginger Crop,生姜の収穫物
block.simplefarming.grape_block,Grapes,ブドウ
block.simplefarming.grape_leaves,Grape Leaves,ブドウの葉
block.simplefarming.grape_leaves_base,Grape Leaves,ブドウの葉
block.simplefarming.grape_plant,Grape Plant,ブドウ
block.simplefarming.honeydew_block,Honeydew,ハニーデュー
block.simplefarming.honeydew_crop,Honeydew Crop,ハネドゥーメロン
block.simplefarming.kenaf_crop,Kenaf Crop,ケナフ作物
block.simplefarming.lettuce_crop,Lettuce Crop,レタス
block.simplefarming.mango_leaves,Mango Leaves,マンゴーの葉
block.simplefarming.mango_sapling,Mango Sapling,マンゴーの苗木
block.simplefarming.marshmallow,Marshmallow,マシュマロ
block.simplefarming.oat_crop,Oat Crop,エンバク
block.simplefarming.oat_hay_block,Oat Hay Bale,オート麦の俵
block.simplefarming.olive_leaves,Olive Leaves,オリーブの葉
block.simplefarming.olive_sapling,Olive Sapling,オリーブの苗木
block.simplefarming.onion_crop,Onion Crop,タマネギ
block.simplefarming.orange_leaves,Orange Leaves,橙の葉
block.simplefarming.orange_sapling,Orange Sapling,橙の苗木
block.simplefarming.pea_crop,Pea Crop,えんどう豆
block.simplefarming.peanut_crop,Peanut Crop,ピーナッツの収穫物
block.simplefarming.pear_leaves,Pear Leaves,ナシの葉
block.simplefarming.pear_sapling,Pear Sapling,ピーナツの木の実
block.simplefarming.pepper_crop,Pepper Crop,トウガラシ
block.simplefarming.plum_leaves,Plum Leaves,サクラの葉
block.simplefarming.plum_sapling,Plum Sapling,プラムの木の実
block.simplefarming.potato_crop,Potato Crop,ジャガイモ
block.simplefarming.quinoa,Quinoa,キノア
block.simplefarming.radish_crop,Radish Crop,ハツカダイコンの収穫物
block.simplefarming.raspberry_bush,Raspberry Bush,ラズベリーの茂み
block.simplefarming.rice_crop,Rice Crop,稲の収穫物
block.simplefarming.rice_hay_block,Rice Hay Bale,米俵
block.simplefarming.rye_crop,Rye Crop,ライ麦の収穫物
block.simplefarming.rye_hay_block,Rye Hay Bale,ライ麦の俵
block.simplefarming.scarecrow,Scarecrow,スケアクロウ
block.simplefarming.sorghum_crop,Sorghum Crop,ソルガム
block.simplefarming.soybean_crop,Soybean Crop,大豆の収穫物
block.simplefarming.spinach_crop,Spinach Crop,ホウレンソウの収穫物
block.simplefarming.squash_block,Squash,瓜
block.simplefarming.squash_crop,Squash Crop,瓜
block.simplefarming.strawberry_bush,Strawberry Bush,イチゴの低木
block.simplefarming.sunflower,Sunflower,向日葵
block.simplefarming.sweet_potato_crop,Sweet Potato Crop,サツマイモの収穫物
block.simplefarming.tomato_crop,Tomato Crop,トマト作物
block.simplefarming.turnip_crop,Turnip Crop,カブの収穫物
block.simplefarming.wild_crop,Wild Crop,野生の作物
block.simplefarming.yam_crop,Yam Crop,ヤムイモ
block.simplefarming.zucchini_crop,Zucchini Crop,ズッキーニの収穫物
item.simplefarming.apple_pie,Apple Pie,アップルパイ
item.simplefarming.apricot,Apricot,アンズ
item.simplefarming.apricot_pie,Apricot Pie,アンズパイ
item.simplefarming.baked_sweet_potato,Baked Sweet Potato,焼き芋
item.simplefarming.baked_yam,Baked Yam,焼きヤムイモ
item.simplefarming.banana,Bananas,バナナ
item.simplefarming.banana_bread,Banana Bread,バナナブレッド
item.simplefarming.barley,Barley,大麦
item.simplefarming.barley_bread,Barley Bread,大麦パン
item.simplefarming.barley_seeds,Barley Seeds,大麦の種
item.simplefarming.beef_and_broccoli,Beef and Broccoli,ブロッコリービーフ
item.simplefarming.beef_curry,Beef Curry,ビーフカレー
item.simplefarming.beer,Beer,ビール
item.simplefarming.blackberries,Blackberries,ブラックベリー
item.simplefarming.blackberry_pie,Blackberry Pie,ブラックベリーパイ
item.simplefarming.blt,BLT,BLTバーガー
item.simplefarming.blueberries,Blueberries,ブルーベリー
item.simplefarming.blueberry_pie,Blueberry Pie,ブルーベリーパイ
