key,source_text,target_text
advancement.things.agglomerate.description,Combine two trinkets for fun and profit,2つのトリンケットを組み合わせて楽しみと利益を得ましょう
advancement.things.agglomerate.title,"Twice the Trinkets, Twice the Fun",トリンケットを二倍、楽しさも二倍
advancement.things.agglomerate_apple.description,A strange yet innovative idea,奇妙だが革新的なアイデア
advancement.things.agglomerate_apple.title,Nourishing,栄養補給
advancement.things.arm_extender.description,Craft an Arm Extender,腕伸長器をクラフトする
advancement.things.arm_extender.title,Hard to Reach No More,もう届きにくくない
advancement.things.bater_wucket.description,But was it worth it?,しかし、それは価値があったのか？
advancement.things.bater_wucket.title,Infinite Water,無限の水
advancement.things.broken_watch.description,Craft a Broken Watch,壊れた時計をクラフト
advancement.things.broken_watch.title,Right Twice a Day,一日二回右へ
advancement.things.displacement_tome.description,Craft a Displacement Tome,変位トームを作成する
advancement.things.displacement_tome.title,Quantum Entanglement,量子もつれ
advancement.things.eat_agglomerated_apple.description,It nourishes you once. And now it's broken,それは一度だけあなたを養います。そして今、それは壊れています
advancement.things.eat_agglomerated_apple.title,Once,一度
advancement.things.empty_agglomeration.description,Craft an Empty Agglomeration,空の集積をクラフトする
advancement.things.empty_agglomeration.title,Balance? Who Cares About Balance?,バランス？ バランスなんて気にしないで
advancement.things.enchanted_wax_gland.description,Craft an Enchanted Wax Gland,エンチャントされたワックス腺をクラフトする
advancement.things.enchanted_wax_gland.title,"Like a Duck, But Faster",鴨のように、でも速い
advancement.things.ender_pouch.description,Craft an Ender Pouch,エンダーポーチをクラフト
advancement.things.ender_pouch.title,Even Portabler Storage ,非常に持ち運び可能なストレージ
advancement.things.gleaming_compound.description,Craft some Gleaming Compound,光沢ある化合物をクラフトする
advancement.things.gleaming_compound.title,Quite the Mix,かなりの混合
advancement.things.gleaming_powder.description,Obtain Gleaming Powder,輝く粉を入手する
advancement.things.gleaming_powder.title,"Like Diamonds, But Less Shiny",ダイヤモンドと同様だが、少し光沢が少ない
advancement.things.hades_crystal.description,Craft a Hades Crystal,ハデスクリスタルをクラフトする
advancement.things.hades_crystal.title,Vibin' with the heatwaves,熱波に揺れる
advancement.things.infernal_scepter.description,Wear your Infernal Scepter with pride,インフェルナルセプターを誇りに着用する
advancement.things.infernal_scepter.title,"Ghast, Ghastly, Infernal",ガスト、グラスティ、インフェナル
advancement.things.item_magnet.description,Craft an Item Magnet,アイテム磁石を作る
advancement.things.item_magnet.title,You're Quite Attractive,あなたはとても魅力的です
advancement.things.mining_gloves.description,Got our pickaxe swinging from side to side,私たちのツルハシを左右に振っている
advancement.things.mining_gloves.title,So We Back In The Mine,私たちは鉱山へ戻る
advancement.things.monocle.description,Craft a Monocle,モノクルを作る
advancement.things.monocle.title,Bright-o-Vision,明るい視覚
advancement.things.moss_necklace.description,Quite disgusting,かなり不快
advancement.things.moss_necklace.title,It Grows Over Your Wounds,傷を覆い隠す
advancement.things.placebo.description,Craft a Placebo,プレサボをクラフト
advancement.things.placebo.title,Clinical Trials,臨床試験
