key,source_text,target_text
block.laboratoryblocks.acacia_laboratory_floor,Acacia Laboratory Floor,アカシアラボフロア
block.laboratoryblocks.acacia_laboratory_tiles,Acacia Laboratory Tiles,アカシアラボタイル
block.laboratoryblocks.bamboo_laboratory_floor,Bamboo Laboratory Floor,竹ラボフロア
block.laboratoryblocks.bamboo_laboratory_tiles,Bamboo Laboratory Tiles,竹ラボタイル
block.laboratoryblocks.birch_laboratory_floor,Birch Laboratory Floor,シラカバ実験室床
block.laboratoryblocks.birch_laboratory_tiles,Birch Laboratory Tiles,シラカバ実験室タイル
block.laboratoryblocks.cherry_laboratory_floor,Cherry Laboratory Floor,サクララボフロア
block.laboratoryblocks.cherry_laboratory_tiles,Cherry Laboratory Tiles,サクララボタイル
block.laboratoryblocks.clear_laboratory_screen,Clear Laboratory Screen,ラボ画面をクリア
block.laboratoryblocks.crimson_laboratory_floor,Crimson Laboratory Floor,真紅研究所の床
block.laboratoryblocks.crimson_laboratory_tiles,Crimson Laboratory Tiles,真紅研究所のタイル
block.laboratoryblocks.dark_oak_laboratory_floor,Dark Oak Laboratory Floor,ダークオーク実験室床
block.laboratoryblocks.dark_oak_laboratory_tiles,Dark Oak Laboratory Tiles,ダークオーク実験室タイル
block.laboratoryblocks.enlighted_acacia_laboratory_floor,Enlighted Acacia Laboratory Floor,啓示されたアカシア研究所の床
block.laboratoryblocks.enlighted_acacia_laboratory_tiles,Enlighted Acacia Laboratory Tiles,啓示されたアカシア研究所のタイル
block.laboratoryblocks.enlighted_bamboo_laboratory_floor,Enlighted Bamboo Laboratory Floor,啓示されたバナナ研究所の床
block.laboratoryblocks.enlighted_bamboo_laboratory_tiles,Enlighted Bamboo Laboratory Tiles,啓示されたバナナ研究所のタイル
block.laboratoryblocks.enlighted_birch_laboratory_floor,Enlighted Birch Laboratory Floor,明るいシラカバ実験室の床
block.laboratoryblocks.enlighted_birch_laboratory_tiles,Enlighted Birch Laboratory Tiles,明るいシラカバ実験室のタイル
block.laboratoryblocks.enlighted_cherry_laboratory_floor,Enlighted Cherry Laboratory Floor,啓示されたサクラ研究所の床
block.laboratoryblocks.enlighted_cherry_laboratory_tiles,Enlighted Cherry Laboratory Tiles,照明付きサクラ研究室タイル
block.laboratoryblocks.enlighted_clear_laboratory_screen,Enlighted Clear Laboratory Screen,照明付きクリア研究室スクリーン
block.laboratoryblocks.enlighted_crimson_laboratory_floor,Enlighted Crimson Laboratory Floor,照明付き真紅研究室床
block.laboratoryblocks.enlighted_crimson_laboratory_tiles,Enlighted Crimson Laboratory Tiles,照明付き真紅研究室タイル
block.laboratoryblocks.enlighted_dark_oak_laboratory_floor,Enlighted Dark Oak Laboratory Floor,照明付きダークオーク研究室床
block.laboratoryblocks.enlighted_dark_oak_laboratory_tiles,Enlighted Dark Oak Laboratory Tiles,照明付きダークオーク研究室タイル
block.laboratoryblocks.enlighted_gray_laboratory_pillar,Enlighted Gray Laboratory Pillar,啓示された灰色の実験室柱
block.laboratoryblocks.enlighted_gray_laboratory_tiles,Enlighted Gray Laboratory Tiles,啓示された灰色の実験室タイル
block.laboratoryblocks.enlighted_jungle_laboratory_floor,Enlighted Jungle Laboratory Floor,照明付きジャングル研究室床
block.laboratoryblocks.enlighted_jungle_laboratory_tiles,Enlighted Jungle Laboratory Tiles,照明付きジャングル研究室タイル
block.laboratoryblocks.enlighted_laboratory_block,Enlighted Laboratory Block,啓示された研究室ブロック
block.laboratoryblocks.enlighted_laboratory_fan,Enlighted Laboratory Fan,啓示された研究所のファン
block.laboratoryblocks.enlighted_laboratory_fan_redstone_controlled,Enlighted Laboratory Fan (Redstone Controlled),照明された研究室ファン（レッドストーン制御）
block.laboratoryblocks.enlighted_laboratory_glass,Enlighted Laboratory Glass,啓示された研究室ガラス
block.laboratoryblocks.enlighted_laboratory_pillar,Enlighted Laboratory Pillar,啓示された研究所の柱
block.laboratoryblocks.enlighted_laboratory_tiles,Enlighted Laboratory Tiles,啓示された研究室タイル
block.laboratoryblocks.enlighted_laboratory_vent,Enlighted Laboratory Vent,照らされた実験室の換気口
block.laboratoryblocks.enlighted_laboratory_vent_connecting,Enlighted Laboratory Vent (Connecting),照らされた実験室の換気口 (接続中)
block.laboratoryblocks.enlighted_left-faced_blue_signaling_laboratory_block,Enlighted Left-Faced Blue Signaling Laboratory Block,光輝左向き青信号実験室ブロック
block.laboratoryblocks.enlighted_left-faced_green_signaling_laboratory_block,Enlighted Left-Faced Green Signaling Laboratory Block,照明付き左向き緑色信号実験室ブロック
block.laboratoryblocks.enlighted_left-faced_red_signaling_laboratory_block,Enlighted Left-Faced Red Signaling Laboratory Block,啓示された左向き赤信号実験室ブロック
block.laboratoryblocks.enlighted_mangrove_laboratory_floor,Enlighted Mangrove Laboratory Floor,照明付きマングローブ研究室床
block.laboratoryblocks.enlighted_mangrove_laboratory_tiles,Enlighted Mangrove Laboratory Tiles,照明付きマングローブ研究室タイル
block.laboratoryblocks.enlighted_mixed_laboratory_tiles,Enlighted Mixed Laboratory Tiles,啓示された混合実験室タイル
block.laboratoryblocks.enlighted_oak_laboratory_floor,Enlighted Oak Laboratory Floor,照明付きオーク研究室床
block.laboratoryblocks.enlighted_oak_laboratory_tiles,Enlighted Oak Laboratory Tiles,照明付きオーク研究室タイル
block.laboratoryblocks.enlighted_pla_block,Enlighted PLA Block,照明されたPLAブロック
block.laboratoryblocks.enlighted_pla_flooring,Enlighted PLA Flooring,照明付きPLAフローリング
block.laboratoryblocks.enlighted_pla_tiles,Enlighted PLA Tiles,照明されたPLAタイル
block.laboratoryblocks.enlighted_right-faced_blue_signaling_laboratory_block,Enlighted Right-Faced Blue Signaling Laboratory Block,照明付き右向き青色信号実験室ブロック
block.laboratoryblocks.enlighted_right-faced_green_signaling_laboratory_block,Enlighted Right-Faced Green Signaling Laboratory Block,啓示された右向き緑色信号実験室ブロック
block.laboratoryblocks.enlighted_right-faced_red_signaling_laboratory_block,Enlighted Right-Faced Red Signaling Laboratory Block,光輝右向き赤信号実験室ブロック
block.laboratoryblocks.enlighted_screwed_laboratory_block,Enlighted Screwed Laboratory Block,照明付き歪んだ研究室ブロック
block.laboratoryblocks.enlighted_spruce_laboratory_floor,Enlighted Spruce Laboratory Floor,照明付きトウヒ研究室床
block.laboratoryblocks.enlighted_spruce_laboratory_tiles,Enlighted Spruce Laboratory Tiles,照明付きトウヒ研究室タイル
block.laboratoryblocks.enlighted_tiled_pla_flooring,Enlighted Tiled PLA Flooring,光るタイル状PLA床材
block.laboratoryblocks.enlighted_warped_laboratory_floor,Enlighted Warped Laboratory Floor,照明付きワーピッド研究室床
block.laboratoryblocks.enlighted_warped_laboratory_tiles,Enlighted Warped Laboratory Tiles,照明付きワーピッド研究室タイル
block.laboratoryblocks.gray_laboratory_pillar,Gray Laboratory Pillar,灰色の実験室柱
block.laboratoryblocks.gray_laboratory_tiles,Gray Laboratory Tiles,灰色の研究室タイル
block.laboratoryblocks.jungle_laboratory_floor,Jungle Laboratory Floor,ジャングル・ラボ床
block.laboratoryblocks.jungle_laboratory_tiles,Jungle Laboratory Tiles,ジャングル・ラボタイル
block.laboratoryblocks.laboratory_block,Laboratory Block,ラボラトリーブロック
block.laboratoryblocks.laboratory_fan,Laboratory Fan,研究室ファン
block.laboratoryblocks.laboratory_fan_redstone_controlled,Laboratory Fan (Redstone Controlled),レッドストーン制御の実験室用ファン
block.laboratoryblocks.laboratory_glass,Laboratory Glass,実験室ガラス
block.laboratoryblocks.laboratory_pillar,Laboratory Pillar,実験室の柱
block.laboratoryblocks.laboratory_tiles,Laboratory Tiles,実験室タイル
block.laboratoryblocks.laboratory_vent,Laboratory Vent,実験室の換気口
block.laboratoryblocks.laboratory_vent_connecting,Laboratory Vent (Connecting),実験室換気口（接続中）
block.laboratoryblocks.left-faced_blue_signaling_laboratory_block,Left-Faced Blue Signaling Laboratory Block,左向き青色シグナル実験室ブロック
block.laboratoryblocks.left-faced_green_signaling_laboratory_block,Left-Faced Green Signaling Laboratory Block,左向き緑色シグナルラボブロック
block.laboratoryblocks.left-faced_red_signaling_laboratory_block,Left-Faced Red Signaling Laboratory Block,左向き赤い信号実験室ブロック
block.laboratoryblocks.mangrove_laboratory_floor,Mangrove Laboratory Floor,マングローブ研究室フロア
block.laboratoryblocks.mangrove_laboratory_tiles,Mangrove Laboratory Tiles,マングローブ研究室タイル
block.laboratoryblocks.mixed_laboratory_tiles,Mixed Laboratory Tiles,混合実験室タイル
block.laboratoryblocks.oak_laboratory_floor,Oak Laboratory Floor,オークの実験室床
block.laboratoryblocks.oak_laboratory_tiles,Oak Laboratory Tiles,オーク研究所タイル
block.laboratoryblocks.pla_block,PLA Block,PLAブロック
block.laboratoryblocks.pla_flooring,PLA Flooring,PLA床
block.laboratoryblocks.pla_tiles,PLA Tiles,PLAタイル
block.laboratoryblocks.right-faced_blue_signaling_laboratory_block,Right-Faced Blue Signaling Laboratory Block,右向き青色シグナルラボブロック
block.laboratoryblocks.right-faced_green_signaling_laboratory_block,Right-Faced Green Signaling Laboratory Block,右向き緑色信号実験室ブロック
block.laboratoryblocks.right-faced_red_signaling_laboratory_block,Right-Faced Red Signaling Laboratory Block,右向き赤色シグナル実験室ブロック
block.laboratoryblocks.screwed_laboratory_block,Screwed Laboratory Block,ネジで固定された研究所のブロック
block.laboratoryblocks.spruce_laboratory_floor,Spruce Laboratory Floor,トウヒ・ラボ床
block.laboratoryblocks.spruce_laboratory_tiles,Spruce Laboratory Tiles,トウヒ・ラボタイル
