key,source_text,target_text
block.craftingforblockheads.alchemists_workbench,Alchemist's Workbench,炼金术工作台
block.craftingforblockheads.armorers_workbench,Armorer's Workbench,防具職人用作業台
block.craftingforblockheads.carpenters_workbench,Sawmill,製材機
block.craftingforblockheads.engineers_workbench,Engineer's Workbench,技師の工具台
block.craftingforblockheads.fletchers_workbench,Fletcher's Workbench,フレットナーの作業台
block.craftingforblockheads.masons_workbench,Mason's Workbench,マーセンの作業台
block.craftingforblockheads.tailors_workbench,Tailor's Workbench,テイラーズワークベンチ
block.craftingforblockheads.tinkerers_workbench,Tinkerer's Workbench,職人の作業台
block.craftingforblockheads.workbench,Workbench,作業台
config.craftingforblockheads,Crafting for Blockheads,ブロックヘッズのクラフト
container.craftingforblockheads.workbench,Workbench,作業台
gui.craftingforblockheads.no_craftables,No\nitems\nunlocked,アイテムが解锁されていません
gui.craftingforblockheads.no_selection,No item\nselected,アイテムが選択されていません\\n
itemGroup.craftingforblockheads.craftingforblockheads,Crafting for Blockheads,ブロックヘッズのクラフト
rei.craftingforblockheads.workshop.title,Workshop,作業場
tooltip.craftingforblockheads.click_to_craft_one,Click again to craft,もう一度クリックでクラフト
tooltip.craftingforblockheads.click_to_craft_stack,Shift-Click to craft a stack,シフト+クリックでスタック分クラフト
tooltip.craftingforblockheads.click_to_lock,Right-Click to lock variant,右クリックでバリエーションをロック
tooltip.craftingforblockheads.click_to_see_recipe,Click to see recipe,クリックでレシピを表示
tooltip.craftingforblockheads.click_to_unlock,Right-Click to reset variant,右クリックでバリエーションをリセット
tooltip.craftingforblockheads.dyeable,Dyeable,染色可能
tooltip.craftingforblockheads.missing_has_anvil,Requires Anvil,アニールが必要
tooltip.craftingforblockheads.missing_has_carpenters_workbench,Requires Sawmill,サウマイルが必要
tooltip.craftingforblockheads.missing_has_engineers_workbench,Requires Engineer's Workbench,エンジニアの工作台が必要です。
tooltip.craftingforblockheads.missing_has_fletching_table,Requires Fletching Table,フェッチングテーブルが必要
tooltip.craftingforblockheads.missing_has_grindstone,Requires Grindstone,研磨石が必要
tooltip.craftingforblockheads.missing_has_loom,Requires Loom,ロームが必要
tooltip.craftingforblockheads.missing_has_smithing_table,Requires Smithing Table,鍛冶台が必要です
tooltip.craftingforblockheads.missing_has_stonecutter,Requires Stonecutter,ストーンカッターが必要
tooltip.craftingforblockheads.missing_has_workbench,Requires Workbench,ワークベンチが必要
tooltip.craftingforblockheads.missing_ingredients,Missing ingredients,欠けている材料
tooltip.craftingforblockheads.missing_metalworking,Requires Anvil,アニールが必要
tooltip.craftingforblockheads.multiblock_workshop,Multiblock Workshop,マルチブロック工房
tooltip.craftingforblockheads.scroll_to_switch,Scroll to select item,スクロールでアイテムを選択
tooltip.craftingforblockheads.sort_by_name,Sort by Name,名前で並べる
tooltip.craftingforblockheads.workbench,Enables crafting abilities.,クラフト機能を有効にします。
