key,source_text,target_text
block.refinedcooking.kitchen_access_point,Kitchen Access Point,キッチンアクセスポイント
block.refinedcooking.kitchen_station,Kitchen Station,キッチンステーション
config.jade.plugin_refinedcooking.kitchen_access_point,Kitchen Access Point,キッチンアクセスポイント
config.jade.plugin_refinedcooking.kitchen_station,Kitchen Station,キッチンステーション
gui.refinedcooking.kitchen_access_point,Kitchen Access Point,キッチンアクセスポイント
gui.refinedcooking.kitchen_access_point.distance,%d block(s),%d ブロック
gui.refinedcooking.kitchen_access_point.missing_card,Missing Kitchen Card,欠落したキッチンカード
item.refinedcooking.kitchen_network_card,Kitchen Network Card,キッチンネットワークカード
itemGroup.refinedcooking,Refined Cooking,精製調理
jade.refinedcooking:kitchen_station,Connected to Network at %s,ネットワークに接続済み: %s
jade.refinedcooking:offline,Not Connected to Network,ネットワークに接続されていません
jade.refinedcooking:online_no_transmission,Connected to Network - Not Transmitting,ネットワークに接続中 - 送信中ではありません。
jade.refinedcooking:online_transmitting,Connected to Network - Transmitting,ネットワークに接続中 - 送信中
misc.refinedcooking.kitchen_network_card.tooltip,"Linked to %d, %d, %d in %s.","%sの%d, %d, %dにリンク済"
tooltip.refinedcooking:kitchen_station.description,Station node that connects to Refined Storage networks,Refined Storage ネットワークに接続するステーションノード
