key,source_text,target_text,status
assemblicator.mekanism.auto_mode_toggle,Auto-Mode: %1$s,自動モード: %1$s,translated
assemblicator.mekanism.craft_available,Craft Available Items,利用可能なアイテムをクラフト,translated
assemblicator.mekanism.craft_single,Craft Single Item,1つのアイテムをクラフト,translated
assemblicator.mekanism.encode_formula,Encode Formula,フォーミュラをエンコード,translated
assemblicator.mekanism.fill_empty,Fill/Empty Grid,グリッドを充填/空にする,translated
assemblicator.mekanism.stock_control,Stock Control: %1$s,在庫制御: %1$s,translated
auto.mekanism.eject,Auto-eject,自動排出,translated
auto.mekanism.pull,Auto-pull,自動抽出,translated
auto.mekanism.sort,Auto-sort,自動ソート,translated
block.mekanism.advanced_bin,Advanced Bin,高度なビン,translated
block.mekanism.advanced_chemical_tank,Advanced Chemical Tank,高度な化学物質タンク,translated
block.mekanism.advanced_combining_factory,Advanced Combining Factory,高度なコンバイニング工場,translated
block.mekanism.advanced_compressing_factory,Advanced Compressing Factory,高度な圧縮工場,translated
block.mekanism.advanced_crushing_factory,Advanced Crushing Factory,高度な粉砕工場,translated
block.mekanism.advanced_energy_cube,Advanced Energy Cube,高度なエネルギーキューブ,translated
block.mekanism.advanced_enriching_factory,Advanced Enriching Factory,高度な濃縮工場,translated
block.mekanism.advanced_fluid_tank,Advanced Fluid Tank,高度な流体タンク,translated
block.mekanism.advanced_induction_cell,Advanced Induction Cell,高度な誘導セル,translated
block.mekanism.advanced_induction_provider,Advanced Induction Provider,高度な誘導プロバイダー,translated
block.mekanism.advanced_infusing_factory,Advanced Infusing Factory,高度な注入工場,translated
block.mekanism.advanced_injecting_factory,Advanced Injecting Factory,高度な注入工場,translated
block.mekanism.advanced_logistical_transporter,Advanced Logistical Transporter,高度なロジスティック運送機,translated
block.mekanism.advanced_mechanical_pipe,Advanced Mechanical Pipe,高度な機械パイプ,translated
block.mekanism.advanced_pressurized_tube,Advanced Pressurized Tube,高度な加圧チューブ,translated
block.mekanism.advanced_purifying_factory,Advanced Purifying Factory,高度な精製工場,translated
block.mekanism.advanced_sawing_factory,Advanced Sawing Factory,高度な製材工場,translated
block.mekanism.advanced_smelting_factory,Advanced Smelting Factory,高度な製錬工場,translated
block.mekanism.advanced_thermodynamic_conductor,Advanced Thermodynamic Conductor,高度な熱力学導体,translated
block.mekanism.advanced_universal_cable,Advanced Universal Cable,高度なユニバーサルケーブル,translated
block.mekanism.antiprotonic_nucleosynthesizer,Antiprotonic Nucleosynthesizer,反陽子核合成装置,translated
block.mekanism.basic_bin,Basic Bin,基本的なビン,translated
block.mekanism.basic_chemical_tank,Basic Chemical Tank,基本的な化学物質タンク,translated
block.mekanism.basic_combining_factory,Basic Combining Factory,基本的なコンバイニング工場,translated
block.mekanism.basic_compressing_factory,Basic Compressing Factory,基本的な圧縮工場,translated
block.mekanism.basic_crushing_factory,Basic Crushing Factory,基本的な粉砕工場,translated
block.mekanism.basic_energy_cube,Basic Energy Cube,基本的なエネルギーキューブ,translated
block.mekanism.basic_enriching_factory,Basic Enriching Factory,基本的な濃縮工場,translated
block.mekanism.basic_fluid_tank,Basic Fluid Tank,基本的な流体タンク,translated
block.mekanism.basic_induction_cell,Basic Induction Cell,基本的な誘導セル,translated
block.mekanism.basic_induction_provider,Basic Induction Provider,基本的な誘導プロバイダー,translated
block.mekanism.basic_infusing_factory,Basic Infusing Factory,基本的な 注入工場,translated
block.mekanism.basic_injecting_factory,Basic Injecting Factory,基本的な 注射工場,translated
block.mekanism.basic_logistical_transporter,Basic Logistical Transporter,基本的な ロジスティック運送機,translated
block.mekanism.basic_mechanical_pipe,Basic Mechanical Pipe,基本的な 機械パイプ,translated
block.mekanism.basic_pressurized_tube,Basic Pressurized Tube,基本的な 加圧チューブ,translated
block.mekanism.basic_purifying_factory,Basic Purifying Factory,基本的な 精製工場,translated
block.mekanism.basic_sawing_factory,Basic Sawing Factory,基本的な 製材工場,translated
block.mekanism.basic_smelting_factory,Basic Smelting Factory,基本的な 製錬工場,translated
block.mekanism.basic_thermodynamic_conductor,Basic Thermodynamic Conductor,基本的な 熱力学導体,translated
block.mekanism.basic_universal_cable,Basic Universal Cable,基本的な ユニバーサルケーブル,translated
block.mekanism.block_bronze,Bronze Block,ブロンズBlock,translated
block.mekanism.block_charcoal,Charcoal Block,CharcoalBlock,translated
block.mekanism.block_fluorite,Fluorite Block,FluoriteBlock,translated
block.mekanism.block_lead,Lead Block,LeadBlock,translated
block.mekanism.block_osmium,Osmium Block,オスミウムBlock,translated
block.mekanism.block_raw_lead,Raw Lead Block,RawLeadBlock,translated
block.mekanism.block_raw_osmium,Raw Osmium Block,RawオスミウムBlock,translated
block.mekanism.block_raw_tin,Raw Tin Block,RawスズBlock,translated
block.mekanism.block_raw_uranium,Raw Uranium Block,RawウランBlock,translated
block.mekanism.block_refined_glowstone,Refined Glowstone,RefinedGlowstone,translated
block.mekanism.block_refined_obsidian,Refined Obsidian,RefinedObsidian,translated
block.mekanism.block_salt,Salt Block,SaltBlock,translated
block.mekanism.block_steel,Steel Block,スチールBlock,translated
block.mekanism.block_tin,Tin Block,スズBlock,translated
block.mekanism.block_uranium,Uranium Block,ウランBlock,translated
block.mekanism.boiler_casing,Boiler Casing,BoilerCasing,translated
block.mekanism.boiler_valve,Boiler Valve,Boilerバルブ,translated
block.mekanism.bounding_block,Bounding Block,BoundingBlock,translated
block.mekanism.brine,Brine,ブライン,translated
block.mekanism.cardboard_box,Cardboard Box,CardboardBox,translated
block.mekanism.chargepad,Chargepad,チャージパッド,translated
block.mekanism.chemical_crystallizer,Chemical Crystallizer,化学物質結晶化器,translated
block.mekanism.chemical_dissolution_chamber,Chemical Dissolution Chamber,化学物質DissolutionChamber,translated
block.mekanism.chemical_infuser,Chemical Infuser,化学物質Infuser,translated
block.mekanism.chemical_injection_chamber,Chemical Injection Chamber,化学物質InjectionChamber,translated
block.mekanism.chemical_oxidizer,Chemical Oxidizer,化学物質Oxidizer,translated
block.mekanism.chemical_washer,Chemical Washer,化学物質Washer,translated
block.mekanism.chlorine,Liquid Chlorine,液体Chlorine,translated
block.mekanism.combiner,Combiner,コンバイナー,translated
block.mekanism.creative_bin,Creative Bin,Creativeビン,translated
block.mekanism.creative_chemical_tank,Creative Chemical Tank,Creative化学物質タンク,translated
block.mekanism.creative_energy_cube,Creative Energy Cube,Creativeエネルギーキューブ,translated
block.mekanism.creative_fluid_tank,Creative Fluid Tank,Creative流体タンク,translated
block.mekanism.crusher,Crusher,粉砕機,translated
block.mekanism.deepslate_fluorite_ore,Deepslate Fluorite Ore,DeepslateFluoriteOre,translated
block.mekanism.deepslate_lead_ore,Deepslate Lead Ore,DeepslateLeadOre,translated
block.mekanism.deepslate_osmium_ore,Deepslate Osmium Ore,DeepslateオスミウムOre,translated
block.mekanism.deepslate_tin_ore,Deepslate Tin Ore,DeepslateスズOre,translated
block.mekanism.deepslate_uranium_ore,Deepslate Uranium Ore,DeepslateウランOre,translated
block.mekanism.digital_miner,Digital Miner,DigitalMiner,translated
block.mekanism.dimensional_stabilizer,Dimensional Stabilizer,DimensionalStabilizer,translated
block.mekanism.diversion_transporter,Diversion Transporter,Diversion運送機,translated
block.mekanism.dynamic_tank,Dynamic Tank,Dynamicタンク,translated
block.mekanism.dynamic_valve,Dynamic Valve,Dynamicバルブ,translated
block.mekanism.electric_pump,Electric Pump,Electricポンプ,translated
block.mekanism.electrolytic_separator,Electrolytic Separator,Electrolyticセパレーター,translated
block.mekanism.elite_bin,Elite Bin,エリートビン,translated
block.mekanism.elite_chemical_tank,Elite Chemical Tank,エリート化学物質タンク,translated
block.mekanism.elite_combining_factory,Elite Combining Factory,エリートコンバイニング工場,translated
block.mekanism.elite_compressing_factory,Elite Compressing Factory,エリート圧縮工場,translated
block.mekanism.elite_crushing_factory,Elite Crushing Factory,エリート粉砕工場,translated
