key,source_text,target_text
block.usefulmachinery.coal_generator,Coal Generator,石炭発電機
block.usefulmachinery.compactor,Compactor,圧縮機
block.usefulmachinery.creative_power_cell,Creative Power Cell,クリエイティブパワー細胞
block.usefulmachinery.crusher,Crusher,粉砕機
block.usefulmachinery.electric_smelter,Electric Smelter,電気製錬炉
block.usefulmachinery.lava_generator,Lava Generator,熔岩発電機
config.jade.plugin_usefulmachinery.machine,Machine,機械
container.usefulmachinery.coal_generator,Coal Generator,石炭発電機
container.usefulmachinery.compactor,Compactor,圧縮機
container.usefulmachinery.crusher,Crusher,粉砕機
container.usefulmachinery.electric_smelter,Electric Smelter,電気製錬炉
container.usefulmachinery.lava_generator,Lava Generator,熔岩発電機
item.usefulmachinery.battery,Battery,バッテリー
item.usefulmachinery.compactor_kit,Compactor Kit,圧縮機キット
item.usefulmachinery.efficiency_upgrade,Efficiency Upgrade,効率アップグレード
item.usefulmachinery.machine_frame,Machine Frame,マシンフレーム
item.usefulmachinery.precision_upgrade,Precision Upgrade,精度アップグレード
item.usefulmachinery.sustained_upgrade,Sustained Upgrade,持続性アップグレード
item.usefulmachinery.tier_upgrade_basic,Basic Upgrade,基本アップグレード
item.usefulmachinery.tier_upgrade_factory,Factory Upgrade,ファクトリーアップグレード
item.usefulmachinery.tier_upgrade_overkill,Overkill Upgrade,過剰殺傷アップグレード
item.usefulmachinery.tier_upgrade_reinforced,Reinforced Upgrade,強化アップグレード
itemGroup.usefulmachinery.base,Useful Machinery,有用な機械
jei.usefulmachinery.compacting,Compacting,圧縮
jei.usefulmachinery.crushing,Crushing,粉砕
jei.usefulmachinery.electric_smelting,Electric Smelting,電気製錬
jei.usefulmachinery.fuel,Fuel for RF,RF用燃料
message.usefulmachinery.upgrade.applied.fail,This is not a valid upgrade item,有効なアップグレードアイテムではありません
message.usefulmachinery.upgrade.applied.success,Successfully upgraded machine to ,機械を成功裏にアップグレードしました
misc.usefulmachinery.compact_block,Block Former,ブロック形成器
misc.usefulmachinery.compact_gear,Gear Manufacturing,ギア製造
misc.usefulmachinery.compact_plate,Plate Press,プレートプレス
misc.usefulmachinery.empty,Empty,空
misc.usefulmachinery.energy,%s FE,%s FE
misc.usefulmachinery.energyWithMax,%s / %s FE,%s / %s FE
misc.usefulmachinery.fluidWithMax,%s / %s mB,%s / %s mB
misc.usefulmachinery.fluidWithMaxName,"%s, %s / %s mB","%s, %s / %s mB"
misc.usefulmachinery.redstoneMode,"Redstone Mode, %s","レッドストーンモード, %s"
stat.usefulmachinery.interact_with_coal_generator,Interactions with Coal Generator,石炭発電機との相互作用
stat.usefulmachinery.interact_with_compactor,Interactions with Compactor,コンパクターとの相互作用
stat.usefulmachinery.interact_with_crusher,Interactions with Crusher,クラッシャーとの相互作用
stat.usefulmachinery.interact_with_electric_smelter,Interactions with Electric Smelter,電気製錬炉との相互作用
stat.usefulmachinery.interact_with_lava_generator,Interactions with Lava Generator,溶岩発電機との相互作用
tooltip.usefulmachinery.upgrade.header,Hold shift to see more...,もっと見るにはシフトキーを押してください…
tooltip.usefulmachinery.upgrade.shift.header,Supported by:,サポート:
