key,source_text,target_text
advancements.husbandry.peel_overweight_onion.description,Peel an overweight onion,太ったタマネギを剥く
advancements.husbandry.peel_overweight_onion.title,Who is cutting onions?... Like seriously,玉ねぎを切っているのは誰？…本当に？
advancements.husbandry.unpeel_vegetables.description,Unpeel an overweight vegetable,肥満の野菜を皮剥きする
advancements.husbandry.unpeel_vegetables.title,"Okay screw you, *unpeels your vegetable*",お前、くそったれ。*野菜の皮をむく*
block.overweight_farming.allium_bush,Allium Bush,アリウムの灌木
block.overweight_farming.half_seeded_peeled_melon,Half Seeded Peeled Melon,半分種子入りむき皮メロン
block.overweight_farming.overweight_apple_block,Overweight Apple Block,過重なアップルブロック
block.overweight_farming.overweight_apple_stem,Overweight Apple Stem,過剰なリンゴの茎
block.overweight_farming.overweight_baked_potato_block,Overweight Baked Potato Block,オーバーウェイト焼き芋ブロック
block.overweight_farming.overweight_beetroot_block,Overweight Beetroot Block,過剰なビートルートブロックです。
block.overweight_farming.overweight_beetroot_stem,Overweight Beetroot Stem,過重ビートルートの茎
block.overweight_farming.overweight_cabbage_block,Overweight Cabbage Block,過重キャベツブロック
block.overweight_farming.overweight_cabbage_stem,Overweight Cabbage Stem,過剰なキャベツの茎
block.overweight_farming.overweight_carrot_block,Overweight Carrot Block,過剰なニンジンブロック
block.overweight_farming.overweight_carrot_stem,Overweight Carrot Stem,過重なニンジンの茎
block.overweight_farming.overweight_cocoa_block,Overweight Cocoa Block,過重なココアブロック
block.overweight_farming.overweight_ginger_block,Overweight Ginger Block,過剰な生姜ブロック
block.overweight_farming.overweight_ginger_stem,Overweight Ginger Stem,過重なジンジャースティック
block.overweight_farming.overweight_golden_apple_block,Overweight Golden Apple Block,オーバーウェイト黄金リンゴブロック
block.overweight_farming.overweight_golden_apple_stem,Overweight Golden Apple Stem,重い金色のリンゴの茎
block.overweight_farming.overweight_kiwi_block,Overweight Kiwi Block,過剰なキウイブロック
block.overweight_farming.overweight_nether_wart_block,Overweight Nether Wart Block,重い下界のワートブロック
block.overweight_farming.overweight_nether_wart_stem,Overweight Nether Wart Stem,過剰なネザーワートの茎
block.overweight_farming.overweight_onion_block,Overweight Onion Block,過重な玉ねぎブロック
block.overweight_farming.overweight_poisonous_potato_block,Overweight Poisonous Potato Block,過剰な有毒なジャガイモブロック
block.overweight_farming.overweight_potato_block,Overweight Potato Block,過剰なポテトブロック
block.overweight_farming.overweight_potato_stem,Overweight Potato Stem,過重なポテトの茎
block.overweight_farming.overweight_sliced_kiwi_block,Overweight Sliced Kiwi Block,重いカイワレブロック
block.overweight_farming.peeled_overweight_beetroot_block,Peeled Overweight Beetroot Block,過剰なビートルートブロックを剥がしました
block.overweight_farming.peeled_overweight_carrot_block,Peeled Overweight Carrot Block,オーバーウェイトカロットブロックを剥がしました
block.overweight_farming.peeled_overweight_cocoa_block,Peeled Overweight Cocoa Block,皮を剥がしたオーバーウェイトココアブロック
block.overweight_farming.peeled_overweight_ginger_block,Peeled Overweight Ginger Block,オーバーウェイトジンジャーブロックを剥がしました
block.overweight_farming.peeled_overweight_kiwi_block,Peeled Overweight Kiwi Block,皮を剥いた重いカイワレブロック
block.overweight_farming.peeled_overweight_onion_block,Peeled Overweight Onion Block,皮を剥がしたオーバーウェイトタマネギブロック
block.overweight_farming.peeled_overweight_potato_block,Peeled Overweight Potato Block,オーバーウェイトポテトブロックを剥がしました
block.overweight_farming.potted_overweight_apple,Potted Overweight Apple,植木鉢に入った過剰なリンゴ
block.overweight_farming.potted_overweight_beetroot,Potted Overweight Beetroot,過剰なビートルートの鉢植え
block.overweight_farming.potted_overweight_cabbage,Potted Overweight Cabbage,植木鉢に入った過剰なキャベツ
block.overweight_farming.potted_overweight_carrot,Potted Overweight Carrot,過重ニンジンの鉢
block.overweight_farming.potted_overweight_cocoa,Potted Overweight Cocoa,植木鉢に入った過剰なココア
block.overweight_farming.potted_overweight_ginger,Potted Overweight Ginger,過重ショウガの鉢
block.overweight_farming.potted_overweight_golden_apple,Potted Overweight Golden Apple,オーバーウェイトゴールデンアップルを植えました
block.overweight_farming.potted_overweight_kiwi,Potted Overweight Kiwi,植木鉢に入った過重なキウイ
block.overweight_farming.potted_overweight_nether_wart,Potted Overweight Nether Wart,鉢植えのオーバーウェイトネザーウォート
block.overweight_farming.potted_overweight_onion,Potted Overweight Onion,植木鉢に入った過剰な玉ねぎ
block.overweight_farming.potted_overweight_poisonous_potato,Potted Overweight Poisonous Potato,過剰な毒ポテトの鉢
block.overweight_farming.potted_overweight_potato,Potted Overweight Potato,過重ジャガイモの鉢
block.overweight_farming.seeded_peeled_melon,Seeded Peeled Melon,シードされた剥かれたメロン
block.overweight_farming.seedless_peeled_melon,Seedless Peeled Melon,無種子の皮を剥いたメロン
block.overweight_farming.vegetable_compost,Vegetable Compost,野菜堆肥
block.overweight_farming.waxed_half_seeded_peeled_melon,Waxed Half Seeded Peeled Melon,半分種子付きのワックス処理されたピールメロン
block.overweight_farming.waxed_seeded_peeled_melon,Waxed Seeded Peeled Melon,ワックスをかけた種を剥いたメロン
block.overweight_farming.waxed_seedless_peeled_melon,Waxed Seedless Peeled Melon,ワックス加工された無種子の皮なしメロン
item.overweight_farming.melon_juice,Melon Juice,メロンジュース
item.overweight_farming.straw_hat,Straw hat,草帽
item.overweight_farming.vegetable_peels,Vegetable Peels,野菜の皮
